task,substrate,readout,env,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_mean,post_swap_mean,steady_acc,n_flips,v_final
drift_binary,random_graph_k25,rmhl_oracle,B,0,256,40000,5.7911083698272705,0.9426357377955328,nan,,0.945,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,1,256,40000,5.841192722320557,0.9395709906786262,nan,,0.935,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,2,256,40000,4.475265264511108,0.9394962438129695,nan,,0.93,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,3,256,40000,4.584033489227295,0.9366204366724452,nan,,0.93,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,6,256,40000,4.8129236698150635,0.9378183965227005,nan,,0.945,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,7,256,40000,4.232203722000122,0.9374746865656642,nan,,0.93,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,8,256,40000,4.826367139816284,0.93594871988141,nan,,0.93,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,9,256,40000,4.262675762176514,0.9367275947840507,nan,,0.93,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,4,256,40000,6.269050598144531,0.9374537071932866,nan,,0.95,0,nan
drift_binary,random_graph_k25,rmhl_oracle,B,5,256,40000,4.124821186065674,0.9386613401673326,nan,,0.945,0,nan
drift_binary,random_graph_k25,meta_self,B,0,256,40000,4.903168439865112,0.9426357377955328,nan,,0.945,0,0.15
drift_binary,random_graph_k25,meta_self,B,1,256,40000,3.864344358444214,0.9395709906786262,nan,,0.935,0,0.15
drift_binary,random_graph_k25,meta_self,B,2,256,40000,4.943241834640503,0.9394962438129695,nan,,0.93,0,0.15
drift_binary,random_graph_k25,meta_self,B,3,256,40000,3.9006311893463135,0.9366204366724452,nan,,0.93,0,0.15
drift_binary,random_graph_k25,meta_self,B,4,256,40000,4.756880521774292,0.9374537071932866,nan,,0.95,0,0.15
drift_binary,random_graph_k25,meta_self,B,5,256,40000,3.741534948348999,0.9386613401673326,nan,,0.945,0,0.15
drift_binary,random_graph_k25,meta_self,B,6,256,40000,5.071737289428711,0.9378183965227005,nan,,0.945,0,0.15
drift_binary,random_graph_k25,meta_self,B,7,256,40000,3.4288265705108643,0.9374746865656642,nan,,0.93,0,0.15
drift_binary,random_graph_k25,meta_self,B,8,256,40000,5.002939462661743,0.93594871988141,nan,,0.93,0,0.15
drift_binary,random_graph_k25,meta_self,B,9,256,40000,3.469233989715576,0.9367275947840507,nan,,0.93,0,0.15
