task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,gain_mean,gain_max
drift_binary,R2_partial_shift,random_graph_k25,rls_online,5,256,40000,4.163451433181763,0.9994711188161101,1.0,1.0,1.0,nan,0.0
drift_binary,R3_compression,parallel,delta_base,8,256,40000,1.8461813926696777,0.77739591970051,1.0,0.595,0.505,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,9,256,40000,1.8877265453338623,0.7582864752141906,0.99,0.565,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_boost,2,256,40000,1.627892255783081,0.7400252506218435,0.995,0.575,0.5,4.642042717174524,9.996100712513336
drift_binary,R3_compression,parallel,delta_boost,3,256,40000,1.5862770080566406,0.7172523303434587,0.985,0.48,0.5,5.009460749974761,9.999572139038579
drift_binary,R3_compression,parallel,delta_boost,4,256,40000,1.9182908535003662,0.7378113615235797,0.99,0.5,0.6,4.742089574478803,9.997290920938584
drift_binary,R3_compression,parallel,delta_boost,5,256,40000,1.7584996223449707,0.7453870505766186,0.99,0.5,0.59,4.819882263336363,9.999094733782469
drift_binary,R2_partial_shift,random_graph_k25,rls_online,6,256,40000,4.426359176635742,0.9994208688223913,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,7,256,40000,4.261615991592407,0.9994711188161101,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,8,256,40000,4.1673808097839355,0.9994711188161101,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,9,256,40000,4.379924297332764,0.9993203688349538,1.0,1.0,1.0,nan,0.0
drift_binary,R3_compression,parallel,delta_boost,6,256,40000,1.6126322746276855,0.7444699881912514,0.985,0.545,0.585,4.797602050919472,9.996714775461195
drift_binary,R3_compression,parallel,delta_boost,7,256,40000,1.5568406581878662,0.7273990603251175,0.975,0.6,0.5,4.889364785192057,9.999146013237558
