arm,seed,stream_ppl,neg_frac,forgetting_ppl,oracle_ppl,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
CV-whiten,1,73.2872038502553,0.1042835713095172,129.9894063709604,28.84199242902066,0.1042835713095172,4.842457113119992,1877,0.12585170340681362,0.12585170340681362,4.763396438239674,314,4.046574831008911
CV-whiten,2,84.2772679350921,0.10483915773098505,123.6792171624761,31.09766969584425,0.10483915773098505,5.569593627761364,1887,0.11623246492985972,0.11623246492985972,5.698827518048324,290,4.005446195602417
CV-whiten,3,86.74302470152868,0.1102283460192233,80.62045536591559,31.012426420341157,0.1102283460192233,4.91732628455163,1984,0.10581162324649299,0.10581162324649299,4.97062051808039,264,4.051207780838013
CV-whiten,4,76.76358659672275,0.1023390188343797,110.75709183892386,31.766261364389294,0.1023390188343797,5.395035664734278,1842,0.1154308617234469,0.1154308617234469,5.463658268949508,288,4.062507629394531
CV-whiten,5,76.03732361705227,0.10295016389799433,84.70510247697925,30.560116888764522,0.10295016389799433,5.2446695499768765,1853,0.10701402805611222,0.10701402805611222,5.072358813654317,267,4.079199552536011
CV-whiten,6,80.22214744029364,0.10622812378465471,116.58026967411726,30.5196163156935,0.10622812378465471,5.062643457013467,1912,0.11783567134268537,0.11783567134268537,5.090110899044278,294,4.044912099838257
CV-whiten,7,85.65949619134699,0.10400577809878327,108.99635264719703,30.56996273041474,0.10400577809878327,5.810064807588901,1872,0.11102204408817636,0.11102204408817636,6.101803792813536,277,4.069049596786499
CV-whiten,8,90.13537482336582,0.10889493860770043,189.079730775671,33.44802514716255,0.10889493860770043,5.337789037821123,1960,0.13306613226452907,0.13306613226452907,5.613126115006905,332,4.0551629066467285
CV-whiten,9,80.88119487306503,0.10361686760375577,150.8425505906203,31.775658193437636,0.10361686760375577,5.511264867221723,1865,0.12665330661322646,0.12665330661322646,5.441326246414419,316,4.069683074951172
B-proj,0,11.856420129224789,0.015556419801100061,7.8845055765761005,7.344013092223381,0.015556419801100061,7.967049303229612,280,0.0004008016032064128,0.0004008016032064128,7.796461155019857,1,4.285883903503418
B-proj,1,11.632281831852639,0.01600088893827435,8.738496905700682,7.152388668797903,0.01600088893827435,7.724329846736222,288,0.002404809619238477,0.002404809619238477,8.159118095104882,6,4.197608947753906
B-proj,2,11.59204962945722,0.015500861158953275,8.506051721556897,7.185695874900826,0.015500861158953275,7.797875530030144,279,0.0012024048096192384,0.0012024048096192384,8.237950413378572,3,4.227771997451782
B-proj,3,11.912410680675343,0.015778654369687204,8.455264110853838,7.361639746876128,0.015778654369687204,7.959216650484768,284,0.0012024048096192384,0.0012024048096192384,8.22853030231018,3,4.220183849334717
B-proj,4,11.850079151887456,0.016056447580421136,8.021205617527773,7.2545617397491755,0.016056447580421136,7.859974973041615,289,0.0,0.0,8.021205617527773,0,4.192795276641846
B-proj,5,11.851402142669775,0.01677870992832935,7.932161063585663,7.186052996483156,0.01677870992832935,7.714595974571708,302,0.0004008016032064128,0.0004008016032064128,7.849743895462753,1,4.176684617996216
B-proj,6,11.725489023319781,0.015389743874659703,8.584143401603058,7.290880561240637,0.015389743874659703,7.9118548490669625,277,0.0004008016032064128,0.0004008016032064128,8.487845910504285,1,4.226670265197754
B-proj,7,11.518797695706334,0.015389743874659703,8.11830710388008,7.182753544109646,0.015389743874659703,7.770228172584222,277,0.0008016032064128256,0.0008016032064128256,7.956728185882552,2,4.1761651039123535
B-proj,8,11.766794159922396,0.01572309572754042,9.19187403269118,7.258389212524579,0.01572309572754042,7.871726602736756,283,0.0008016032064128256,0.0008016032064128256,8.974768340853203,2,4.190338373184204
B-proj,9,11.835518385728989,0.01600088893827435,8.436094537093101,7.261724518487203,0.01600088893827435,7.861501492763516,288,0.0008016032064128256,0.0008016032064128256,8.26811468915981,2,4.193448543548584
CV-skip,0,59.62481211226561,0.10333907439302184,57.23259720095795,18.393934518516684,0.10333907439302184,3.954138838379596,1860,0.10220440881763528,0.10220440881763528,3.8463784862437946,255,19.534266233444214
CV-skip,1,52.67374588883198,0.09928329351630646,87.86911243105578,16.60234725431496,0.09928329351630646,3.878218161148993,1787,0.11983967935871744,0.11983967935871744,3.7315340564214816,299,19.36802840232849
