task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,3,256,40000,43.08006477355957,0.7376481746689781,1.0,0.515,0.5
drift_binary,R3_compression,parallel,rmhl,2,256,40000,17.058895587921143,0.7154355418205574,0.895,0.5,0.535
drift_binary,R3_compression,parallel,rmhl,3,256,40000,17.26204490661621,0.680875103640612,0.89,0.5,0.5
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,4,256,40000,44.13036751747131,0.7722099947237507,1.0,0.53,0.68
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,5,256,40000,42.3704948425293,0.7495196100600486,1.0,0.525,0.6
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,6,256,40000,43.32867383956909,0.76762103967237,1.0,0.6,0.6
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,7,256,40000,41.37535238265991,0.7789541720057285,1.0,0.64,0.555
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,8,256,40000,43.05008888244629,0.7357914374010702,1.0,0.5,0.5
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,9,256,40000,41.48772311210632,0.7533599658300043,1.0,0.585,0.5
drift_binary,R3_compression,parallel,rmhl,4,256,40000,17.342002868652344,0.7074798371900203,0.88,0.525,0.5
drift_binary,R3_compression,parallel,rmhl,5,256,40000,16.783792734146118,0.7072420290947464,0.895,0.5,0.5
drift_binary,R3_compression,parallel,rmhl,6,256,40000,17.19867181777954,0.6922853697143287,0.88,0.59,0.5
drift_binary,R3_compression,parallel,rmhl,7,256,40000,16.894731760025024,0.6928070902741137,0.88,0.43,0.5
drift_binary,R3_compression,parallel,rmhl_norm,0,256,40000,17.061245918273926,0.6989315595085551,0.915,0.5,0.425
drift_binary,R3_compression,parallel,rmhl_norm,1,256,40000,16.708638191223145,0.6998635712670536,0.91,0.5,0.535
drift_binary,R3_compression,parallel,rmhl,8,256,40000,17.065181732177734,0.6808939473882566,0.905,0.5,0.485
drift_binary,R3_compression,parallel,rmhl,9,256,40000,17.030144214630127,0.7058678173915228,0.92,0.5,0.48
drift_binary,R3_compression,parallel,rmhl_norm,2,256,40000,15.803627014160156,0.6852352955955882,0.895,0.5,0.465
drift_binary,R3_compression,parallel,rmhl_norm,3,256,40000,18.06461238861084,0.7049925881259265,0.89,0.4375,0.5
drift_binary,R3_compression,parallel,rmhl_norm,4,256,40000,16.800418853759766,0.7074798371900203,0.88,0.525,0.5
drift_binary,R3_compression,parallel,rmhl_norm,5,256,40000,17.71638584136963,0.7072420290947464,0.895,0.5,0.5
drift_binary,R3_compression,parallel,rmhl_norm,8,256,40000,17.14670991897583,0.6817984472751941,0.905,0.5,0.485
drift_binary,R3_compression,parallel,rmhl_norm,9,256,40000,14.343919515609741,0.7052623049672119,0.92,0.5,0.52
