lambda_target,cv_tau,arm,seed_idx,pre_nmse,post_nmse,kappa_settled,mc_heldout,runtime_s
-0.005,0.4,fixed,3,0.004499237018016434,0.0017849433467785017,25.0,8.005535210123183,113.37836933135986
-0.005,0.4,fixed,4,0.004796602041904238,0.0021765992526230713,25.0,7.117980348512116,133.36802339553833
-0.005,0.4,regulated,0,0.006500001340831627,0.002744450613070247,27.103027359375158,8.73452855485017,183.60794115066528
-0.005,0.4,regulated,1,0.006103946023479935,0.0036357878196546065,26.965964740236625,7.002960987408067,82.31230807304382
-0.005,0.4,regulated,2,0.0053060826747936465,0.0028624632254502422,26.744167626568483,7.714000564588768,63.44419026374817
-0.005,0.4,regulated,3,0.005371595680342499,0.0027684337110392846,26.694380443460197,8.339537283058368,61.324467182159424
-0.005,0.4,regulated,4,0.006135157925103224,0.003325095911155277,27.18705503027692,7.851494343666048,57.14096021652222
0.0,0.1,fixed,0,0.007969030125518087,0.0022437177059951214,25.0,10.30509828055112,51.88946270942688
0.0,0.1,fixed,1,0.008392514227520105,0.002155324361424608,25.0,10.066503675999611,52.215760231018066
0.0,0.1,fixed,2,0.007480173409469031,0.002352731193603841,25.0,10.103397010320993,54.097487688064575
0.0,0.1,fixed,3,0.007082677614694625,0.0019242675233070224,25.0,8.162981221022418,50.200700759887695
0.0,0.1,fixed,4,0.006324669557812005,0.0023927518168933774,25.0,8.70592148717612,51.50998377799988
0.0,0.1,regulated,0,0.00920529560214067,0.0039923634093529175,27.658489287884187,12.214730795298976,56.213279247283936
0.0,0.1,regulated,1,0.009839126151276295,0.004121339280524117,28.176429427337336,12.79944490331107,72.3753650188446
0.0,0.1,regulated,2,0.00850395493404238,0.0041659476005675685,26.985872882383305,12.003519721132745,65.01801586151123
0.0,0.1,regulated,3,0.007948085566718886,0.0029162523307521265,27.53174736936373,10.018307835889676,57.63390064239502
0.0,0.1,regulated,4,0.007716765570883075,0.004988810601093871,28.106772457116197,11.931508729862989,55.452378273010254
0.0,0.2,fixed,0,0.0059317340846643096,0.001574663435217403,25.0,9.66038209175254,55.279120683670044
0.0,0.2,fixed,1,0.005792986200282418,0.0019100435294290266,25.0,9.208748533953605,51.028905153274536
0.0,0.2,fixed,2,0.005271452283163257,0.0014640583652449114,25.0,9.759486661908547,52.81239104270935
0.0,0.2,fixed,3,0.00561825381493118,0.0013787739716397507,25.0,8.901940498520446,53.17689776420593
0.0,0.2,fixed,4,0.0054458991568762,0.0015552283371944255,25.0,5.851295454996026,56.59214234352112
0.0,0.2,regulated,0,0.007500075080727316,0.0028104168356406067,27.978210685215657,11.244382888455752,55.38586115837097
0.0,0.2,regulated,1,0.008124069603963651,0.0033443103210075665,27.96654380911216,10.520980090331198,61.413556814193726
0.0,0.2,regulated,2,0.006140766711620591,0.003657757240877678,27.836200956241694,10.427812783168708,75.6346824169159
0.0,0.2,regulated,3,0.006839455673808946,0.0031809390188840014,27.971737531527335,8.774621444009794,70.50879740715027
0.0,0.2,regulated,4,0.0068298399345796896,0.0027406297536016334,27.91515609533718,10.530090231604593,58.20847511291504
0.0,0.4,fixed,0,0.004348945715177133,0.0015486739694992458,25.0,7.83649716128538,48.79360103607178
0.0,0.4,fixed,1,0.0056081365711142415,0.002289786895013523,25.0,6.903666277387175,50.598352670669556
0.0,0.4,fixed,2,0.004660768055163868,0.0017004685241924081,25.0,7.786740699125145,50.346076250076294
0.0,0.4,fixed,3,0.004499237018016434,0.0017849433467785017,25.0,8.005535210123183,51.03108525276184
0.0,0.4,fixed,4,0.004796602041904238,0.0021765992526230713,25.0,7.117980348512116,62.590394496917725
0.0,0.4,regulated,0,0.0077420161631245755,0.00286499161602153,27.28326819353208,8.71641497359383,58.67167592048645
0.0,0.4,regulated,1,0.006152898276209891,0.0038968390992907644,27.124844008558707,6.98100125684552,56.952632188797
0.0,0.4,regulated,2,0.0055391184625369055,0.00306645023380252,26.91660346497673,7.831957642601229,58.84899044036865
0.0,0.4,regulated,3,0.005500947632389711,0.002932602920864667,26.873081797239223,8.287841693182793,57.410181760787964
0.0,0.4,regulated,4,0.006352286905067524,0.003497758663552123,27.356844115570624,7.875910122730942,83.69287705421448
