task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,1,256,40000,4.2475645542144775,0.9380668827416396,0.945,0.95,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,2,256,40000,3.7964131832122803,0.9376734252908218,0.935,0.95,0.935,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,3,256,40000,4.0445640087127686,0.934041983869752,0.94,0.93,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,4,256,40000,4.04733681678772,0.9351208512348935,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,5,256,40000,4.168075323104858,0.9362905454636818,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,6,256,40000,4.163029193878174,0.9351184643601919,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,7,256,40000,4.117508172988892,0.932629079671365,0.93,0.95,0.93,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,8,256,40000,4.065033912658691,0.9340455013693122,0.94,0.93,0.93,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,9,256,40000,4.20819091796875,0.9302503705937037,0.95,0.925,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,2,256,40000,4.313363075256348,0.9376734252908218,0.935,0.95,0.935,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,3,256,40000,4.275189638137817,0.934041983869752,0.94,0.93,0.945,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,0,256,40000,4.590410470962524,0.9402548930931384,0.95,0.95,0.945,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,1,256,40000,4.606342315673828,0.9380668827416396,0.945,0.95,0.945,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,4,256,40000,4.596611022949219,0.9351208512348935,0.93,0.945,0.95,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,5,256,40000,4.295179128646851,0.9362905454636818,0.93,0.945,0.95,0,38
drift_binary,R2_partial_shift,parallel,rmhl,0,256,40000,1.9728755950927734,0.7074514459435693,0.915,0.5,0.505,0,0
drift_binary,R2_partial_shift,parallel,rmhl,1,256,40000,1.933000087738037,0.7005369211828848,0.91,0.5,0.465,0,0
drift_binary,R2_partial_shift,parallel,rmhl,2,256,40000,1.8565101623535156,0.7154355418205574,0.895,0.5,0.535,0,0
drift_binary,R2_partial_shift,parallel,rmhl,3,256,40000,2.1701643466949463,0.680875103640612,0.89,0.5,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl,4,256,40000,2.0445401668548584,0.7075300871837391,0.88,0.525,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl,5,256,40000,1.8780851364135742,0.7072420290947464,0.895,0.5,0.5,0,0
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,6,256,40000,4.3539958000183105,0.9351184643601919,0.93,0.945,0.95,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,7,256,40000,4.4706947803497314,0.932629079671365,0.93,0.95,0.93,0,38
drift_binary,R2_partial_shift,parallel,rmhl,6,256,40000,2.1068928241729736,0.6922099947237506,0.88,0.59,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl,7,256,40000,2.026092767715454,0.6928070902741137,0.88,0.43,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl,8,256,40000,2.1602001190185547,0.680919072385116,0.905,0.5,0.485,0,0
drift_binary,R2_partial_shift,parallel,rmhl,9,256,40000,2.0331671237945557,0.7058929423883822,0.92,0.5,0.48,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,0,256,40000,1.976015567779541,0.6879016858872893,0.915,0.5,0.495,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,1,256,40000,2.0550220012664795,0.7017981960252254,0.91,0.5,0.535,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,2,256,40000,1.9371578693389893,0.6877477952815256,0.895,0.5,0.465,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,3,256,40000,2.0841469764709473,0.706500087937489,0.89,0.48,0.5,0,0
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,8,256,40000,4.582118034362793,0.93409952011256,0.94,0.93,0.93,0,38
drift_binary,R1_full_swap,random_graph_k25,pop5_norm,9,256,40000,4.360217809677124,0.9302503705937037,0.95,0.925,0.945,1,38
drift_binary,R2_partial_shift,parallel,rmhl_norm,4,256,40000,2.10101318359375,0.6917063641617046,0.88,0.435,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,5,256,40000,2.070862293243408,0.6936242807969649,0.895,0.5,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,6,256,40000,1.8710949420928955,0.7039232682595914,0.88,0.41,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,7,256,40000,2.0292537212371826,0.7035580764302404,0.88,0.57,0.5,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,8,256,40000,2.0966763496398926,0.7139810557523681,0.905,0.5,0.515,0,0
drift_binary,R2_partial_shift,parallel,rmhl_norm,9,256,40000,2.0229313373565674,0.7118199291475089,0.92,0.5,0.52,0,0
drift_binary,R2_partial_shift,parallel,single_flip,0,256,40000,2.0069003105163574,0.7044364463204442,0.915,0.4525,0.505,2,0
drift_binary,R2_partial_shift,parallel,single_flip,1,256,40000,2.0368707180023193,0.7108431948946006,0.91,0.5,0.535,5,0
drift_binary,R2_partial_shift,parallel,single_flip,2,256,40000,2.0418646335601807,0.7124205421974323,0.895,0.4,0.535,2,0
drift_binary,R2_partial_shift,parallel,single_flip,3,256,40000,2.02939772605896,0.679870103766237,0.89,0.42,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip,4,256,40000,2.0455822944641113,0.704515087560614,0.88,0.585,0.5,4,0
drift_binary,R2_partial_shift,parallel,single_flip,5,256,40000,2.1629421710968018,0.7042270294716213,0.895,0.5,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip,6,256,40000,2.1941235065460205,0.7109582673802165,0.88,0.59,0.5,3,0
