task,axis,env,m_regimes,seg_blocks,pop_k,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,steady_acc,n_snaps,active_mem_blocks,bt0_lin0,bt1_cir,bt2_lin1,bt3_lin2
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,1,256,40000,10.606873273849487,0.8686917414135324,0.9,0,0,0.8976311806256306,0.807895,0.8718100000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,2,256,40000,7.533549070358276,0.863595135800608,1.0,0,0,0.9045408678102927,0.82,0.826105,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,3,256,40000,9.822251558303833,0.8480628627421422,0.895,0,0,0.8892608476286581,0.77719,0.8368100000000002,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,8,256,40000,7.9974188804626465,0.8678136227732971,0.9,0,0,0.8821442986881938,0.842905,0.864,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,9,256,40000,9.535369873046875,0.8645235044345619,0.9,0,0,0.8871367305751766,0.807895,0.8764000000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,2,256,40000,8.216500282287598,0.8791726338534207,1.0,75,306,0.9146316851664986,0.8460000000000001,0.842105,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,3,256,40000,8.704957485198975,0.8681628602296425,0.9,75,325,0.9124697275479313,0.7904950000000001,0.8575050000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,4,256,40000,10.26695990562439,0.8478141252732343,0.9,0,0,0.8947578203834512,0.7958850000000001,0.80661,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,5,256,40000,9.081069231033325,0.8763774779528152,0.9,0,0,0.8968289606458124,0.8356950000000001,0.876,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,4,256,40000,8.228818416595459,0.8754516218185472,0.9,69,322,0.9290665993945512,0.81599,0.8285050000000002,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,5,256,40000,10.288583040237427,0.8984874751890656,0.93,83,336,0.9260923309788094,0.8536950000000001,0.888,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,6,256,40000,10.469711780548096,0.888614607673174,1.0,0,0,0.9112537840565086,0.8516950000000001,0.8803050000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,7,256,40000,11.21587610244751,0.8630160046229994,0.9,0,0,0.8905625630676085,0.814095,0.8574100000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,0,256,40000,10.639126300811768,0.8821587397301576,0.915,77,214,0.8997452068617559,0.8453050000000001,0.884,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,1,256,40000,11.473068952560425,0.8837667395291576,0.9,81,266,0.91377648839556,0.8318949999999999,0.8758100000000001,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,6,256,40000,10.819498300552368,0.9036896057887993,1.0,82,235,0.9304263370332997,0.86,0.894,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,7,256,40000,8.624618291854858,0.8720610034923746,0.9,80,152,0.8956079717457114,0.832095,0.8654100000000001,
memory_boundaries,M,M4,4,500,4,random_graph_k25,rls_single,2,256,40000,8.875087022781372,0.8761576342302957,0.9375,0,0,0.9376782077393077,0.82,0.826105,0.922
memory_boundaries,M,M4,4,500,4,random_graph_k25,rls_single,3,256,40000,8.754504203796387,0.8472852440893446,0.9,0,0,0.9301629327902241,0.77719,0.8368100000000002,0.8460000000000001
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,8,256,40000,10.980527639389038,0.8808786211401723,0.9,76,248,0.8957189707366296,0.8620000000000001,0.87,
memory_boundaries,M,M3,3,500,4,random_graph_k25,pop_mem,9,256,40000,8.326159954071045,0.8831160021104998,0.9775,75,307,0.9012638748738648,0.8338949999999999,0.8964000000000001,
memory_boundaries,M,M4,4,500,4,random_graph_k25,rls_single,0,256,40000,10.414975881576538,0.8766337529207809,0.9,0,0,0.9361558044806518,0.8132,0.862105,0.8960000000000001
memory_boundaries,M,M4,4,500,4,random_graph_k25,rls_single,1,256,40000,8.527275562286377,0.8780143714982035,1.0,0,0,0.9431873727087576,0.807895,0.8718100000000001,0.8900000000000001
memory_boundaries,M,M4,4,500,4,random_graph_k25,rls_single,4,256,40000,9.046444177627563,0.8535162433104697,1.0,0,0,0.9365631364562118,0.7958850000000001,0.80661,0.8764000000000001
