task,substrate,readout,seg_len,seq_kind,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_cap,detect_cq,detect_delta,n_expansions,n_snaps,best_delta,best_delta_b,cq_at_best_delta,n_above_margin,n_above_floor,n_above_both,gate_blocker,seg1_acc,seg1_cap,seg1_delta,seg2_acc,seg2_cap,seg2_delta,seg3_acc,seg3_cap,seg3_delta,seg4_acc,seg4_cap,seg4_delta,seg5_acc,seg5_cap,seg5_delta,seg6_acc,seg6_cap,seg6_delta
relative_sense_stress,parallel,pop_auto,500,ABAB,5,256,40000,5.2850258350372314,0.7688135976483003,779,0.44166666666666665,0.6166666666666667,0.17500000000000004,1,44,0.17500000000000004,779,0.6166666666666667,4,19,4,triggered,0.935,0.9441666666666666,0.007499999999999984,0.6,0.642857142857143,0.041666666666666664,0.9,nan,nan,0.625,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,0,256,20000,6.5966956615448,0.827680420180799,-1,nan,nan,nan,0,0,0.1333333333333333,439,0.7833333333333333,4,32,4,hold,0.95,0.7697525252525252,-0.06777777777777783,0.7,0.6500000000000001,-0.011538461538461515,0.9,0.6625,-0.03472222222222222,0.9,0.714102564102564,0.01153846153846154,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,1,256,20000,6.3149354457855225,0.814183627089541,-1,nan,nan,nan,0,0,0.1416666666666666,799,0.7583333333333333,3,37,3,hold,1.0,0.8668585858585859,-0.016818181818181798,0.7,0.7211538461538461,0.003205128205128177,0.9,0.6958333333333333,0.020833333333333325,0.8,0.7224358974358975,0.02371794871794872,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,2,256,20000,3.8142318725585938,0.8266122923084692,219,0.6363636363636364,0.8181818181818182,0.18181818181818188,1,0,0.2666666666666666,179,0.8555555555555555,3,3,3,triggered,0.965,0.7828093434343435,0.1814962121212121,0.75,nan,nan,0.9,nan,nan,0.8,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,3,256,20000,6.324895620346069,0.8231301449421746,-1,nan,nan,nan,0,0,0.21000000000000008,199,0.78,3,34,3,hold,0.9,0.6137777777777778,0.05247979797979798,0.7,0.7102564102564103,0.027564102564102595,0.905,0.7243055555555555,0.020138888888888897,0.8,0.7012820512820513,0.033974358974358985,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,6,256,40000,9.666223764419556,0.7666817416647823,1799,0.55,0.725,0.17499999999999993,1,44,0.17499999999999993,1799,0.725,8,53,8,triggered,0.9,0.8758333333333332,-0.026666666666666682,0.6,0.6023333333333334,0.03400000000000001,0.9,0.778,-0.020000000000000007,0.615,0.6566666666666667,0.03000000000000002,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,7,256,40000,9.039817333221436,0.7570865053641869,1739,0.5833333333333334,0.7583333333333333,0.17499999999999993,1,45,0.19999999999999996,1719,0.7333333333333333,5,50,4,triggered,0.9,0.9016666666666667,-0.004166666666666652,0.6,0.6083333333333333,0.04266666666666666,1.0,0.7913333333333334,0.0036666666666666757,0.6,0.6506944444444445,0.048611111111111084,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,4,256,20000,6.336747407913208,0.819802030200495,-1,nan,nan,nan,0,0,0.1333333333333333,759,0.9416666666666667,2,35,2,hold,0.9,0.9292878787878788,0.028469696969696943,0.7,0.6974358974358974,0.0019230769230768991,0.9,0.6680555555555556,0.013888888888888881,0.8,0.7365384615384616,0.009615384615384607,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,5,256,20000,6.378260374069214,0.824443209938892,-1,nan,nan,nan,0,0,0.1333333333333333,179,0.9444444444444444,1,34,1,hold,1.0,0.896888888888889,0.03983333333333332,0.7,0.7006410256410256,0.004487179487179471,0.9,0.7076388888888888,0.03194444444444446,0.8,0.7141025641025641,0.032051282051282055,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,6,256,20000,6.290857553482056,0.8388338972779152,-1,nan,nan,nan,0,0,0.16666666666666674,459,0.7083333333333334,3,33,3,hold,0.9,0.897080808080808,0.08177272727272729,0.7,0.617948717948718,0.026282051282051282,0.9,0.7416666666666667,0.029861111111111085,0.87,0.7435897435897435,0.005128205128205144,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,7,256,20000,6.382849216461182,0.8277814251805465,-1,nan,nan,nan,0,0,0.07500000000000007,679,0.7666666666666667,0,33,0,margin,1.0,0.9424242424242424,0.013843434343434314,0.69,0.698076923076923,0.01987179487179486,0.9,0.69375,0.00416666666666667,0.82,0.698076923076923,0.0006410256410256345,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,250,ABAB,2,256,20000,3.0919506549835205,0.8498434422503914,219,0.6363636363636364,0.8181818181818182,0.18181818181818188,1,25,0.2666666666666666,179,0.8555555555555555,3,3,3,triggered,1.0,0.7828093434343435,0.1814962121212121,0.755,nan,nan,0.9,nan,nan,0.8,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,250,ABAB,3,256,20000,6.465493440628052,0.8403009948992475,-1,nan,nan,nan,0,31,0.21000000000000008,199,0.78,3,34,3,hold,0.9,0.6137777777777778,0.05247979797979798,0.7,0.7102564102564103,0.027564102564102595,0.955,0.7243055555555555,0.020138888888888897,0.86,0.7012820512820513,0.033974358974358985,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,8,256,20000,6.15102481842041,0.8237892025655269,-1,nan,nan,nan,0,0,0.09166666666666667,719,0.9166666666666666,0,33,0,margin,1.0,0.9072878787878788,0.007287878787878799,0.7,0.7384615384615384,0.008333333333333312,0.9,0.68125,-0.016666666666666663,0.8,0.7096153846153848,0.01923076923076922,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,250,ABAB,9,256,20000,6.813249826431274,0.8143376597141558,-1,nan,nan,nan,0,0,0.06666666666666676,519,0.7666666666666667,0,37,0,margin,0.925,0.8985858585858587,0.00912121212121213,0.71,0.7583333333333333,0.005769230769230766,0.9,0.6673611111111111,0.006944444444444438,0.8,0.6987179487179488,0.010256410256410263,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,250,ABAB,0,256,20000,6.237299680709839,0.8529316701176709,-1,nan,nan,nan,0,29,0.1333333333333333,439,0.7833333333333333,4,32,4,hold,1.0,0.7697525252525252,-0.06777777777777783,0.79,0.6500000000000001,-0.011538461538461515,0.9,0.6625,-0.03472222222222222,0.9,0.714102564102564,0.01153846153846154,nan,nan,nan,nan,nan,nan
