exp,arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,flips,norm_mean,norm_max,norm_final,recovery_tokens,dt_mean,dt_max,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
E2,REG-clean,,2,,,,,5,11.314451780580004,13.375371729959877,11.255404135163065,nan,5.594902775176903,8.49349252282764,,,,,,,,1.0135581493377686
E2,REG-clean,,3,,,,,5,11.315950164794788,13.380542898327612,11.928751214243587,nan,5.48636918473731,7.667225206143924,,,,,,,,1.0526857376098633
E2,REG-clean,,4,,,,,5,11.316411839008326,13.457513490765763,11.153540246587562,nan,5.336476869356874,7.988851575494012,,,,,,,,1.033017873764038
E2,REG-clean,,5,,,,,5,11.312134905385852,12.808541251849599,12.152369992046426,nan,6.107568065171291,9.126851698012612,,,,,,,,1.0393595695495605
E2,REG-clean,,6,,,,,5,11.312287308992525,12.99556567870912,12.224163140083121,nan,5.395890825148933,7.284750445314598,,,,,,,,1.0020225048065186
E2,REG-clean,,7,,,,,5,11.314470270863968,13.372647268172754,11.267652838774573,nan,5.542961335736782,8.173206882090476,,,,,,,,1.000885248184204
E2,REG-clean,,8,,,,,5,11.313110756470659,13.214092837242678,10.972488379902506,nan,4.786060015796138,7.871439020625395,,,,,,,,1.0371077060699463
E2,REG-clean,,9,,,,,5,11.313099824746248,12.936696064754797,11.472071262494937,nan,5.681910408772621,8.21821158973469,,,,,,,,1.0247139930725098
E2,REG-dist,,0,,,,,5,11.313950488520867,41.15858559501536,11.615502123392462,9.0,5.215980060792518,7.934942825196717,,,,,,,,1.0079400539398193
E2,REG-dist,,1,,,,,5,11.311455249516108,39.79136961284014,11.3147496037908,9.0,4.8878635044592045,8.629373946391041,,,,,,,,1.0041172504425049
E2,REG-dist,,2,,,,,5,11.314451780580004,36.615027519528724,11.255404135163065,9.0,5.598125828917703,8.544761056553673,,,,,,,,1.0202274322509766
E2,REG-dist,,3,,,,,5,11.31595016479479,46.35289348345461,11.92875121424359,12.0,5.49069390711229,7.8429975843745146,,,,,,,,1.0343194007873535
E2,REG-dist,,4,,,,,5,11.316411839008326,43.01688476157444,11.153540246587562,10.0,5.3420392436917465,8.002532476814682,,,,,,,,1.0265917778015137
E2,REG-dist,,5,,,,,5,11.31213490538585,45.44485234269588,12.152369992046426,10.0,6.115814934817962,9.126851698012578,,,,,,,,1.0212619304656982
E2,REG-dist,,6,,,,,5,11.312287308992525,51.86583819644947,12.22416314008312,9.0,5.402745613582839,9.044343612693586,,,,,,,,1.0074055194854736
E2,REG-dist,,7,,,,,5,11.314470270863966,37.96724533270459,11.267652838774572,11.0,5.5497177827914355,8.868588739929304,,,,,,,,1.0109407901763916
E2,REG-dist,,8,,,,,5,11.31311075647066,59.069555236581216,10.972488379902513,9.0,4.790828030849898,8.896412313027113,,,,,,,,1.0147624015808105
E2,REG-dist,,9,,,,,5,11.313099824746248,47.77541440805128,11.472071262494937,10.0,5.685155892141431,8.765832524111698,,,,,,,,1.0139446258544922
