task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,6,256,40000,14.869869470596313,0.7469108816361398,0.5,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,7,256,40000,13.22361946105957,0.7523843622019548,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,4,256,40000,8.37812328338623,0.7254336574457928,0.93,0.525,0.5,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,5,256,40000,8.143716096878052,0.723256199592975,0.93,0.5,0.5,0
drift_binary,R3_compression,parallel,rmhl,0,256,40000,2.494553804397583,0.707152207230974,0.915,0.5,0.505,0
drift_binary,R3_compression,parallel,rmhl,1,256,40000,2.7104389667510986,0.7004646868169141,0.91,0.5,0.465,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,8,256,40000,9.925156354904175,0.7010392954950881,0.94,0.5,0.485,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,9,256,40000,9.18782925605774,0.7256987261626592,0.95,0.5,0.48,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,4,256,40000,7.175386190414429,0.7224186578226678,0.93,0.585,0.5,4
drift_binary,R2_partial_shift,random_graph_k25,single_flip,5,256,40000,6.968446493148804,0.72024119996985,0.93,0.5,0.5,2
drift_binary,R3_compression,parallel,rmhl,4,256,40000,2.5495362281799316,0.7074534559433179,0.88,0.525,0.5,0
drift_binary,R3_compression,parallel,rmhl,5,256,40000,2.9723517894744873,0.7071789653526294,0.895,0.5,0.5,0
drift_binary,R3_compression,parallel,rmhl,2,256,40000,2.5632002353668213,0.7154590336926208,0.895,0.5,0.535,0
drift_binary,R3_compression,parallel,rmhl,3,256,40000,4.015028715133667,0.6808698273912716,0.89,0.5,0.5,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,0,256,40000,10.06908130645752,0.7225094846863145,0.95,0.4525,0.505,2
drift_binary,R2_partial_shift,random_graph_k25,single_flip,1,256,40000,8.212809562683105,0.7298423406447073,0.945,0.5,0.535,5
drift_binary,R2_partial_shift,random_graph_k25,single_flip,6,256,40000,7.271050691604614,0.7313811210773599,0.93,0.59,0.5,3
drift_binary,R2_partial_shift,random_graph_k25,single_flip,7,256,40000,7.746923923492432,0.7101640662294918,0.93,0.4,0.5,2
drift_binary,R3_compression,parallel,rmhl,6,256,40000,3.649946928024292,0.6920169091228864,0.88,0.59,0.5,0
drift_binary,R3_compression,parallel,rmhl,7,256,40000,4.104501247406006,0.6928079696490038,0.88,0.43,0.5,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,2,256,40000,9.692629337310791,0.7308253561468305,0.935,0.4,0.535,2
drift_binary,R2_partial_shift,random_graph_k25,single_flip,3,256,40000,9.203571796417236,0.7047119419110072,0.94,0.42,0.5,2
drift_binary,R3_compression,parallel,rmhl,8,256,40000,3.7859227657318115,0.6809384186326978,0.905,0.5,0.485,0
drift_binary,R3_compression,parallel,rmhl,9,256,40000,4.029139518737793,0.7060060048742494,0.92,0.5,0.48,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,8,256,40000,7.981416463851929,0.7020442953694631,0.94,0.5,0.485,2
drift_binary,R2_partial_shift,random_graph_k25,single_flip,9,256,40000,8.126776695251465,0.7381582121052235,0.95,0.5,0.52,3
drift_binary,R3_compression,parallel,single_flip,2,256,40000,3.0348432064056396,0.7124440340694957,0.895,0.4,0.535,2
drift_binary,R3_compression,parallel,single_flip,3,256,40000,2.8050360679626465,0.6798648275168966,0.89,0.42,0.5,2
drift_binary,R3_compression,parallel,single_flip,4,256,40000,3.007526397705078,0.7044384563201929,0.88,0.585,0.5,4
drift_binary,R3_compression,parallel,single_flip,5,256,40000,2.8031046390533447,0.7041639657295042,0.895,0.5,0.5,2
drift_binary,R3_compression,parallel,single_flip,6,256,40000,2.8866491317749023,0.7107651817793523,0.88,0.59,0.5,3
drift_binary,R3_compression,parallel,single_flip,7,256,40000,2.7541768550872803,0.6897929700258788,0.88,0.4,0.5,2
drift_binary,R3_compression,parallel,single_flip,0,256,40000,4.234785318374634,0.704137207607849,0.915,0.4525,0.505,2
drift_binary,R3_compression,parallel,single_flip,1,256,40000,4.101758003234863,0.7107709605286299,0.91,0.5,0.535,5
drift_binary,R3_compression,parallel,single_flip,8,256,40000,3.820957899093628,0.6819434185070727,0.905,0.5,0.485,2
drift_binary,R3_compression,parallel,single_flip,9,256,40000,4.192734718322754,0.7184654908168137,0.92,0.5,0.52,3
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,0,256,40000,11.284171104431152,0.7480867314891585,0.515,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,1,256,40000,10.679229974746704,0.7613288610838923,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,2,256,40000,9.631325483322144,0.7517084997864375,0.58,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,3,256,40000,11.891527652740479,0.7614569985678752,0.47,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,6,256,40000,9.703917741775513,0.7472123815984524,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,7,256,40000,10.295784711837769,0.7526858621642672,0.5,1.0,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,2,256,40000,5.422783613204956,0.7499497500062813,0.58,0.99,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,3,256,40000,8.175694942474365,0.7596731237908595,0.47,0.985,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,8,256,40000,10.676376581192017,0.7425366196829225,0.44,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,9,256,40000,11.8808434009552,0.7560563804929523,0.5,1.0,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,6,256,40000,6.870912790298462,0.7456546317931712,0.5,0.99,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,7,256,40000,6.150917053222656,0.7506004874249391,0.5,0.99,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,0,256,40000,7.016102075576782,0.7460767317404084,0.515,0.985,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,1,256,40000,8.846338272094727,0.7594947363131579,0.5,0.99,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,4,256,40000,12.211766242980957,0.7445227506846561,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rls_fresh,5,256,40000,13.405755281448364,0.7473631315796087,0.5,1.0,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,8,256,40000,8.259563446044922,0.7408281198964849,0.44,0.985,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,9,256,40000,5.598224639892578,0.7542725057159368,0.5,0.985,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,4,256,40000,6.779943227767944,0.7424876259390467,0.5,0.99,1.0,0
drift_binary,R3_compression,parallel,rls_fresh,5,256,40000,8.10150957107544,0.7454033818245773,0.5,0.99,1.0,0
drift_binary,R3_compression,random_graph_k25,rmhl,2,256,40000,7.913642883300781,0.7338403557699555,0.935,0.5,0.535,0
drift_binary,R3_compression,random_graph_k25,rmhl,3,256,40000,6.98040246963501,0.7057169417853822,0.94,0.5,0.5,0
drift_binary,R3_compression,random_graph_k25,rmhl,6,256,40000,7.93034029006958,0.7126830984146127,0.93,0.59,0.5,0
drift_binary,R3_compression,random_graph_k25,rmhl,7,256,40000,6.82054328918457,0.7131790658526168,0.93,0.43,0.5,0
drift_binary,R3_compression,random_graph_k25,rmhl,0,256,40000,8.132426023483276,0.7254993593125801,0.95,0.5,0.505,0
drift_binary,R3_compression,random_graph_k25,rmhl,1,256,40000,9.033353805541992,0.7195863169267103,0.945,0.5,0.465,0
drift_binary,R3_compression,random_graph_k25,rmhl,4,256,40000,9.832464218139648,0.7254085324489334,0.93,0.525,0.5,0
drift_binary,R3_compression,random_graph_k25,rmhl,5,256,40000,9.024170637130737,0.723256199592975,0.93,0.5,0.5,0
drift_binary,R3_compression,random_graph_k25,rmhl,8,256,40000,9.968456268310547,0.7010392954950881,0.94,0.5,0.485,0
drift_binary,R3_compression,random_graph_k25,rmhl,9,256,40000,7.817207336425781,0.7256736011657998,0.95,0.5,0.48,0
drift_binary,R4_near_inversion,parallel,rmhl,0,256,40000,3.5164363384246826,0.5104380543202433,0.915,0.12,0.125,0
