arm,seed,feat,stream_ppl,floor_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_gate,runtime_s
Gate-static-softmax,8,gate_static,8.165781766015632,0.0,25.202914596596223,17.42636732616525,0.0,18.226961143061537,0.7453247218418562,1.0,128.0,29.134490966796875
Gate-static-softmax,9,gate_static,8.265562447001402,0.0,67.15080563338277,43.36140148723996,0.0,18.030271260259497,0.7462942123478173,1.0,128.0,32.65586566925049
Skip-sub-softmax,0,sub,8.267414861025243,0.0,10.174508769319914,12.043870432662004,0.0,27.87063221824963,nan,nan,0.0,23.39181876182556
Skip-sub-softmax,1,sub,7.7754053463696895,0.0,9.443578383798394,10.722667601016445,0.0,29.98340438487436,nan,nan,0.0,29.53332233428955
Skip-sub-softmax,2,sub,8.326256118035984,0.0,9.819976950907868,10.860716887130748,0.0,27.56564091772008,nan,nan,0.0,29.80727529525757
Skip-sub-softmax,3,sub,7.921039867183009,0.0,9.603371720921714,9.784047527935932,0.0,31.941399318565093,nan,nan,0.0,22.67295217514038
Skip-sub-softmax,4,sub,8.146911343049293,0.0,9.99624333186252,11.399960036049748,0.0,29.171199169046247,nan,nan,0.0,22.60759449005127
Skip-sub-softmax,5,sub,7.85518903567486,0.0,8.547006051520132,9.275690869982839,0.0,31.782089506279515,nan,nan,0.0,23.402134656906128
Skip-sub-softmax,6,sub,7.607521961149749,0.0,9.259451640953134,10.921707709900899,0.0,33.75536324090258,nan,nan,0.0,23.25259804725647
Skip-sub-softmax,7,sub,8.738462866725321,0.0,10.403112535242272,11.329194061272382,0.0,23.405193508923205,nan,nan,0.0,28.01154088973999
Skip-sub-softmax,8,sub,8.56596000187476,0.0,14.910011199006039,12.425244791618207,0.0,27.603990244699,nan,nan,0.0,22.97631001472473
Skip-sub-softmax,9,sub,8.214277581124572,0.0,20.151230655254007,23.071307377864333,0.0,31.277491050966926,nan,nan,0.0,26.950928211212158
