task,env,switch_every,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,pre_win,post_win,capacity_probe,n_snaps,n_flips
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,4,256,40000,2.103808641433716,0.8931396196075475,0.9,0.9,0.9,0.9,0.9,0.907,94,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,5,256,40000,1.982151985168457,0.9091668551041431,0.9,0.9,0.9,0.9,0.9,0.916,97,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,6,256,40000,2.166579484939575,0.8912250948468632,0.9,0.9,0.9,0.9,0.9,0.627,95,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,7,256,40000,1.8621630668640137,0.920674103665737,1.0,0.9,0.9,1.0,0.9,0.917,96,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,8,256,40000,2.008979320526123,0.9119808547523932,0.9,0.9,0.9,0.9,0.9,0.898,96,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,9,256,40000,2.0946152210235596,0.8916082510489687,0.9,0.8975,0.9,0.9,0.9,0.905,96,-1
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,0,256,40000,2.199284791946411,0.8125310921836134,0.8,0.8,0.895,0.8,0.895,0.917,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,1,256,40000,1.9455630779266357,0.8143978794502651,0.8,0.8,0.9,0.8,0.9,0.915,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,2,256,40000,2.1656062602996826,0.8202532599683425,0.865,0.86,0.805,0.865,0.805,0.92,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,3,256,40000,2.3266077041625977,0.8085136051857994,0.8,0.8,0.8,0.8,0.8,0.841,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,4,256,40000,2.1169774532318115,0.8042951182131102,0.8,0.8,0.8,0.8,0.8,0.871,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,5,256,40000,2.061830759048462,0.80040199994975,0.8,0.8,0.815,0.8,0.815,0.912,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,6,256,40000,2.044616460800171,0.8139142232607222,0.885,0.8,0.8,0.885,0.8,0.904,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,7,256,40000,2.0210773944854736,0.8112296173462978,0.825,0.8,0.8,0.825,0.8,0.905,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,8,256,40000,2.096097230911255,0.7991193688600788,0.81,0.8,0.8,0.81,0.8,0.905,0,0
content_rendering,mixed_AB,200,random_graph_k25,meta_ema,9,256,40000,2.203446865081787,0.7863583829552021,0.8,0.8,0.8,0.8,0.8,0.913,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,0,256,40000,2.0751705169677734,0.8155460918067386,0.8,0.885,0.8,0.8,0.8,0.915,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,1,256,40000,2.1470787525177,0.8259315092585614,0.85,0.9,0.89,0.85,0.89,0.914,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,2,256,40000,2.076223611831665,0.8147257606592799,0.835,0.89,0.8,0.835,0.8,0.879,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,3,256,40000,2.069829225540161,0.8027109871611267,0.8,0.8,0.8,0.8,0.8,0.895,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,4,256,40000,2.0594394207000732,0.8223851159518605,0.86,0.88,0.825,0.86,0.825,0.906,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,5,256,40000,2.151768684387207,0.8080663802417024,0.8,0.82,0.8,0.8,0.8,0.909,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,6,256,40000,2.3373053073883057,0.7939888445013945,0.83,0.765,0.8,0.83,0.8,0.907,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,7,256,40000,2.0573205947875977,0.8039672370040953,0.83,0.8,0.8,0.83,0.8,0.759,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,8,256,40000,1.9754223823547363,0.8172332353458456,0.8,0.855,0.88,0.8,0.88,0.906,0,0
content_rendering,mixed_AB,100,random_graph_k25,meta_ema,9,256,40000,1.951784372329712,0.8059294992588126,0.84,0.8,0.83,0.84,0.83,0.905,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,0,256,40000,2.0013818740844727,0.8065010929373635,0.8,0.8,0.9,0.8,0.9,0.91,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,1,256,40000,2.0893502235412598,0.8190711288661089,0.825,0.8,0.9,0.825,0.9,0.919,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,2,256,40000,2.0695362091064453,0.8021632622295922,0.84,0.82,0.8,0.84,0.8,0.912,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,3,256,40000,2.016979694366455,0.7979611065048617,0.8,0.8,0.8,0.8,0.8,0.872,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,4,256,40000,1.9842000007629395,0.819872616265923,0.8,0.8,0.8,0.8,0.8,0.907,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,5,256,40000,2.0710668563842773,0.8157043792869526,0.8,0.84,0.8,0.8,0.8,0.916,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,6,256,40000,1.8833048343658447,0.8055463430567071,0.8,0.8,0.8,0.8,0.8,0.627,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,7,256,40000,1.8664791584014893,0.820274616215673,0.9,0.8,0.8,0.9,0.8,0.917,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,8,256,40000,1.9956605434417725,0.806680736664908,0.8,0.8,0.84,0.8,0.84,0.898,0,0
content_rendering,mixed_AB,25,random_graph_k25,meta_ema,9,256,40000,1.928039312362671,0.7888445013944373,0.8,0.8,0.8,0.8,0.8,0.905,0,0
content_rendering,single_A,0,parallel,rls_single,0,256,40000,1.016489028930664,0.9187884726514408,1.0,0.9,0.9,0.9,0.9,0.949,0,-1
content_rendering,single_A,0,parallel,rls_single,1,256,40000,1.0973353385925293,0.9095449863068767,0.9,0.9,0.9,0.91,0.9,0.94,0,-1
content_rendering,single_A,0,parallel,rls_single,2,256,40000,1.0836725234985352,0.9187646039044245,0.9,0.9,0.9,0.9,0.9,0.935,0,-1
content_rendering,single_A,0,parallel,rls_single,3,256,40000,1.2747137546539307,0.927634984045627,0.965,0.9,1.0,0.975,1.0,0.953,0,-1
content_rendering,single_A,0,parallel,rls_single,4,256,40000,1.071613073348999,0.9151729856033769,0.9,0.9,0.9,0.9,0.9,0.956,0,-1
content_rendering,single_A,0,parallel,rls_single,5,256,40000,1.1064085960388184,0.9285131026858624,0.9,0.96,0.9,0.9,0.9,0.942,0,-1
content_rendering,single_A,0,parallel,rls_single,6,256,40000,1.0016233921051025,0.9234114720735659,0.985,0.9,1.0,0.9,1.0,0.944,0,-1
content_rendering,single_A,0,parallel,rls_single,7,256,40000,1.0684080123901367,0.9155247355594082,0.9,0.9,0.9,0.9,0.9,0.948,0,-1
