task,scenario,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,sel_good_frac,n_switches
multi_source_weak,minority_weak,random_graph_k25,vote_pure,8,256,40000,5.89878249168396,0.5672872540890932,0.52,0.545,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,8,256,40000,6.913884162902832,0.5704266224466723,0.6,0.5,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,8,256,40000,7.019321918487549,0.7027637496545314,0.7,0.7,0.7,0.703,0
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,8,256,40000,8.458231210708618,0.7277807090274114,0.8,0.725,0.685,0.703,0
multi_source_weak,all_weak,parallel,worker_true,2,256,40000,2.364553928375244,0.9187646039044245,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,2,256,40000,2.4263899326324463,0.8214090098238738,0.8,0.8,0.8,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,2,256,40000,3.666931390762329,0.8736639782920026,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,2,256,40000,3.7255046367645264,0.712509735936283,0.7,0.7,0.795,0.7115,161
multi_source_weak,all_weak,parallel,worker_emasel,2,256,40000,5.061501741409302,0.7868558578930178,0.8,0.7,0.895,0.7115,161
multi_source_weak,all_weak,parallel,worker_true,3,256,40000,2.365217924118042,0.927634984045627,0.965,0.9,1.0,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,3,256,40000,2.3960022926330566,0.8373382578327178,0.9,0.83,0.87,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,3,256,40000,3.4532463550567627,0.8869324891334389,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,3,256,40000,3.565901517868042,0.6812856460892942,0.7,0.7,0.7,0.682,255
multi_source_weak,all_weak,parallel,worker_emasel,3,256,40000,4.666834831237793,0.7764063716992036,0.8,0.8,0.8,0.682,255
multi_source_weak,all_weak,parallel,worker_true,4,256,40000,1.979224443435669,0.9151729856033769,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,4,256,40000,2.0458874702453613,0.8479623627547046,0.9,0.88,0.9,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,4,256,40000,3.1832146644592285,0.8819552272555967,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,4,256,40000,3.2820746898651123,0.6962551192181101,0.7,0.7,0.7,0.696,243
multi_source_weak,all_weak,parallel,worker_emasel,4,256,40000,4.198437690734863,0.7953481068314867,0.8,0.8,0.875,0.696,243
multi_source_weak,all_weak,parallel,worker_true,5,256,40000,2.398698329925537,0.9285131026858624,0.9,0.96,0.9,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,5,256,40000,2.545224666595459,0.837211376598578,0.9,0.86,0.9,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,5,256,40000,4.050482749938965,0.887331976583503,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,5,256,40000,4.1229894161224365,0.6996985000376875,0.7,0.7,0.7,0.6995,209
multi_source_weak,all_weak,parallel,worker_emasel,5,256,40000,5.236507892608643,0.8193412225823472,0.8,0.8,0.8,0.6995,209
multi_source_weak,all_weak,parallel,worker_true,6,256,40000,2.319972515106201,0.9234114720735659,0.985,0.9,1.0,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,6,256,40000,2.380768299102783,0.8252280093464989,0.85,0.87,0.875,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,6,256,40000,3.389047622680664,0.863637848295269,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,6,256,40000,3.4516279697418213,0.683187608351549,0.615,0.7,0.7,0.6825,251
multi_source_weak,all_weak,parallel,worker_emasel,6,256,40000,4.650118350982666,0.7647433481570816,0.8,0.8,0.83,0.6825,251
multi_source_weak,all_weak,parallel,worker_true,8,256,40000,2.6271941661834717,0.9233637345795332,0.9,0.9,0.905,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,8,256,40000,2.7548251152038574,0.8422150197231225,0.805,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,8,256,40000,3.8308606147766113,0.8746451094193614,0.9,0.82,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,8,256,40000,3.880828619003296,0.6965377754327781,0.7,0.7,0.7,0.698,217
multi_source_weak,all_weak,parallel,worker_emasel,8,256,40000,4.999319791793823,0.7907778699027662,0.835,0.8,0.82,0.698,217
multi_source_weak,all_weak,parallel,worker_true,7,256,40000,2.2672128677368164,0.9155247355594082,0.9,0.9,0.9,0.0,0
