part,disturb,kappa,arm,seed_idx,mc_heldout,proxy_mean,pre_nmse,post_nmse,final_nmse,recovery_pulses,kappa_settled,mc_at_nominal,mc_at_settled,runtime_s
2,edge_prune,,fixed,8,,,0.005852420141402949,0.002910420892740241,0.0020168076651124025,4296.0,25.0,17.732990932757776,17.732990932757776,66.83827114105225
2,edge_prune,,fixed,9,,,0.004799299054870662,0.0016950479961989353,0.0014233416609147386,4306.0,25.0,17.63420641933157,17.63420641933157,71.38512063026428
2,edge_prune,,fixed,2,,,0.005271452283185271,0.002290739799933542,0.0017494643025780983,4244.0,25.0,17.56406873882567,17.56406873882567,75.01310777664185
2,edge_prune,,fixed,3,,,0.005618253814982266,0.0026298609864386373,0.0018916616222148968,3636.0,25.0,17.881433825528884,17.881433825528884,65.19011974334717
2,tau_drift,,regulated,6,,,0.006258102330958716,0.00239883495097727,0.002488903819054321,3431.0,26.493230957596413,14.449991344187401,14.896632585615723,68.62676501274109
2,tau_drift,,regulated,7,,,0.0069937704629529475,0.0029713792382062617,0.0031499723487481064,3180.0,26.964830384281136,12.808664813767434,15.411231279572885,76.44077014923096
2,tau_drift,,regulated,8,,,0.005979828005259621,0.003034745188364161,0.0028161934339813958,3318.0,27.10137460421519,10.867186592242854,15.11595210884734,73.7012574672699
2,tau_drift,,regulated,9,,,0.005312850870568093,0.0024871224231410565,0.0023349155558293404,3329.0,26.839613308734723,12.637708190418943,15.343298503435308,72.11885237693787
2,edge_prune,,fixed,6,,,0.006618008174497729,0.0024196992231688913,0.0014005855528556586,4346.0,25.0,17.015246397545248,17.015246397545248,66.96246814727783
2,edge_prune,,fixed,7,,,0.006478601677334161,0.002162775694519653,0.0014630817312760835,4307.0,25.0,16.938627072790716,16.938627072790716,77.81242418289185
2,edge_prune,,regulated,6,,,0.006258102330958716,0.004155682305081274,0.003369497080519112,3592.0,26.37926339708351,17.015246397545248,19.872501678014636,75.01471447944641
2,edge_prune,,regulated,7,,,0.0069937704629529475,0.004449875829834955,0.00405623209130972,3752.0,26.442041612364388,16.938627072790716,19.160215769660052,63.811023473739624
