task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,random_graph_k25,pop_auto_adapt,500,9,256,40000,16.591737985610962,0.8850707268661591,-1,nan,0,0.18000000000000005,231.43529411764706,0.0611764705882353,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,6,256,40000,17.613938331604004,0.9023881309514835,-1,nan,0,0.10000000000000009,240.0,0.0,1.0,0.9,0.935,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,7,256,40000,17.53448796272278,0.8776626215421722,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.89,0.9,0.845
adaptive_window,parallel,pop_auto,500,2,256,40000,8.342694520950317,0.7745709906786262,999,0.14999999999999997,1,0.20833333333333337,240.0,0.0,0.9,0.565,1.0,0.7
adaptive_window,parallel,pop_auto,500,3,256,40000,7.514995336532593,0.7497500062812493,859,0.20000000000000007,1,0.20000000000000007,240.0,0.0,0.9,0.515,0.91,0.655
adaptive_window,parallel,pop_auto,500,8,256,40000,6.883703231811523,0.7771337403582824,739,0.17500000000000004,1,0.18333333333333335,240.0,0.0,0.91,0.6,1.0,0.635
adaptive_window,parallel,pop_auto,500,9,256,40000,7.848554372787476,0.7724315971960505,879,0.25,1,0.25,240.0,0.0,0.9,0.6,1.0,0.6
adaptive_window,parallel,pop_auto,500,4,256,40000,13.75687289237976,0.7532624808421899,-1,nan,0,0.15833333333333333,240.0,0.0,0.9,0.59,0.925,0.6
adaptive_window,parallel,pop_auto,500,5,256,40000,7.120943307876587,0.7688135976483003,779,0.17500000000000004,1,0.17500000000000004,240.0,0.0,0.935,0.6,0.9,0.625
adaptive_window,parallel,rls_auto_adapt,500,0,256,40000,9.136486053466797,0.7301211024848622,-1,nan,0,0.21999999999999997,164.72941176470587,0.5376470588235294,0.9,0.54,0.9,0.53
adaptive_window,parallel,rls_auto_adapt,500,1,256,40000,6.174672842025757,0.7580651239918595,699,0.20000000000000007,1,0.20000000000000007,167.11764705882354,0.5205882352941177,0.9,0.565,0.9,0.6625000000000001
adaptive_window,parallel,rls_auto_adapt,500,4,256,40000,9.066009283065796,0.7204492349438457,-1,nan,0,0.2,163.90588235294118,0.5435294117647059,0.9,0.55,0.9,0.52
adaptive_window,parallel,rls_auto_adapt,500,5,256,40000,6.6054534912109375,0.7341411019823623,779,0.20000000000000007,1,0.26,163.49411764705883,0.5464705882352942,0.9,0.565,0.9,0.6
adaptive_window,parallel,rls_auto_adapt,500,2,256,40000,8.935933589935303,0.7142684857164392,1979,0.16000000000000003,1,0.28,160.85882352941175,0.5652941176470588,0.9,0.5,0.9,0.6
