arm,seed,host_policy,use_topk,readout_map,stream_ppl,clip_frac,neg_frac,floor_frac,forgetting_ppl,forgetting_ppl_med,oracle_ppl,n_params_readout,n_params_gate,n_params_host,pretrain_end_tokens,runtime_s
X67-random-frozen,1,random_frozen,0,softmax_sgd,8.543620983596478,0.0,0.0,0.0,9.828224853928806,11.522867110706555,24.15577462931061,8224,0,24864,0,120.2258288860321
X67-random-frozen,2,random_frozen,0,softmax_sgd,9.288880028864734,0.0,0.0,0.0,9.952784678482299,11.070561710970239,19.487374169243804,8224,0,24864,0,76.31595611572266
X67-random-frozen,3,random_frozen,0,softmax_sgd,9.018530522204355,0.0,0.0,0.0,10.927655261502341,13.116176771325618,22.865958712224963,8224,0,24864,0,80.1577787399292
X67-random-frozen,4,random_frozen,0,softmax_sgd,8.997954206063206,0.0,0.0,0.0,10.017653155102797,10.952966329120288,22.608508689636672,8224,0,24864,0,119.9764232635498
X67-random-frozen,5,random_frozen,0,softmax_sgd,8.97634857039377,0.0,0.0,0.0,10.854381786915518,11.872206780976759,22.335843639254715,8224,0,24864,0,80.934011220932
X67-random-frozen,6,random_frozen,0,softmax_sgd,8.963412839370745,0.0,0.0,0.0,9.975989803164028,11.803880031223036,23.126808182874804,8224,0,24864,0,101.96209645271301
X67-random-frozen,7,random_frozen,0,softmax_sgd,9.197422122038251,0.0,0.0,0.0,9.530889943946187,10.9740141502884,22.790765889621415,8224,0,24864,0,137.2068066596985
X67-random-frozen,8,random_frozen,0,softmax_sgd,9.042084035796337,0.0,0.0,0.0,10.969149615409314,10.643826701117042,23.533581262387827,8224,0,24864,0,86.36908268928528
X67-random-frozen,9,random_frozen,0,softmax_sgd,9.188246207837874,0.0,0.0,0.0,11.355335054340655,13.076225217480344,24.908968804911893,8224,0,24864,0,116.3057427406311
X67-random-frozen-topk,0,random_frozen,1,softmax_sgd,7.501829197694029,0.0,0.0,0.0,11.11285415582265,12.727579716533723,35.1114059449672,8224,16512,24864,0,175.5138976573944
X67-random-frozen-topk,1,random_frozen,1,softmax_sgd,7.124429485769731,0.0,0.0,0.0,10.303067300224741,11.3635092986987,32.11515499401329,8224,16512,24864,0,154.31296515464783
X67-random-frozen-topk,2,random_frozen,1,softmax_sgd,7.27934525751854,0.0,0.0,0.0,12.324146560631075,12.810518244465314,30.48008715205182,8224,16512,24864,0,141.97803735733032
X67-random-frozen-topk,3,random_frozen,1,softmax_sgd,7.564984760005655,0.0,0.0,0.0,11.334081710651787,10.914382768235239,34.39140098933784,8224,16512,24864,0,146.60641407966614
X67-random-frozen-topk,4,random_frozen,1,softmax_sgd,7.273036398823718,0.0,0.0,0.0,10.830867331908092,11.796207520658946,32.5330567312136,8224,16512,24864,0,190.12157702445984
X67-random-frozen-topk,5,random_frozen,1,softmax_sgd,7.394125290499419,0.0,0.0,0.0,11.76686921833356,13.94069317571655,28.151706414121755,8224,16512,24864,0,219.1337652206421
X67-random-frozen-topk,6,random_frozen,1,softmax_sgd,7.698350450308721,0.0,0.0,0.0,12.91649048020418,14.474997411634796,34.809969491793176,8224,16512,24864,0,153.37785005569458
X67-random-frozen-topk,7,random_frozen,1,softmax_sgd,7.354014254453171,0.0,0.0,0.0,11.899413324108183,13.407817416311447,32.58084849460906,8224,16512,24864,0,153.58072590827942
X67-random-frozen-topk,8,random_frozen,1,softmax_sgd,7.349147325236708,0.0,0.0,0.0,14.178356933176877,16.56456606704866,33.04896271788081,8224,16512,24864,0,180.08950757980347
X67-random-frozen-topk,9,random_frozen,1,softmax_sgd,7.243329989725876,0.0,0.0,0.0,12.72596177347485,14.325859998448356,31.72136123896791,8224,16512,24864,0,180.66246676445007
