task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_expansions,n_snaps,best_delta_l0,best_delta_l1,exp1_block,exp1_delta,exp1_cq,exp2_block,exp2_delta,exp2_cq,w_norm_end,max_abs_pred,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg5_acc,seg6_acc
multi_level_expansion,random_graph_k25,pop_auto_multi,2,256,60000,38.063448905944824,0.7812185414959616,0,61,0.95,nan,-1,nan,nan,-1,nan,nan,2799.919155754016,2.4364425712668005,1.0,0.9,0.605,0.9,0.8,0.6
multi_level_expansion,random_graph_k25,pop_auto_multi,3,256,60000,31.879247665405273,0.7900829417568268,0,60,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,3264.505946736145,2.978066895833713,1.0,0.8,0.615,0.9,0.9,0.645
multi_level_expansion,random_graph_k25,pop_auto_multi,4,256,60000,38.32653498649597,0.8124061470543972,0,61,0.95,nan,-1,nan,nan,-1,nan,nan,2508.246099276876,1.803401034037077,0.99,0.9,0.65,0.9,0.9,0.695
multi_level_expansion,random_graph_k25,pop_auto_multi,5,256,60000,32.28019738197327,0.807676293038578,0,59,0.975,nan,-1,nan,nan,-1,nan,nan,2500.9585850736835,1.9222383691001537,1.0,0.9,0.645,0.9,0.9,0.61
multi_level_expansion,random_graph_k25,pop_auto_multi,0,256,60000,39.51095700263977,0.7893471681075568,0,59,0.9833333333333333,nan,-1,nan,nan,-1,nan,nan,3040.6270548981047,2.7742895633019726,1.0,0.87,0.665,0.9,0.825,0.63
multi_level_expansion,random_graph_k25,pop_auto_multi,1,256,60000,31.372257947921753,0.8111193792745941,0,61,0.95,nan,-1,nan,nan,-1,nan,nan,2735.218711347651,2.8541678451235604,1.0,0.9,0.7,0.9,0.9,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,2,256,60000,18.78572130203247,0.7405662112673701,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,16.357453786879358,0.9,0.895,0.61,0.8,0.7,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,3,256,60000,16.40174126625061,0.7250338623099948,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.5379487672861725,0.9,0.8,0.6,0.8,0.605,0.58
multi_level_expansion,random_graph_k25,rls_quad_start,8,256,60000,18.89711594581604,0.7597966589187473,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.256455076195623,1.0,0.9,0.7,0.9,0.7,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,9,256,60000,17.08357310295105,0.7383078878279627,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,11.998146048475574,0.9,0.895,0.64,0.8,0.7,0.6
