task,env,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,post_rot_acc,steady_acc,gain_mean,gain_max
rotation2d,R2D_rot90,parallel,rmhl_norm,1,256,40000,3.9262959957122803,0.756054496118188,0.795,0.74,0.79,0.785,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,2,256,40000,3.37223482131958,0.7578204065224492,0.8,0.725,0.775,0.77,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,3,256,40000,3.839926242828369,0.7423554684555664,0.78,0.78,0.76,0.78,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,4,256,40000,3.419586420059204,0.7678751790156026,0.8,0.79,0.765,0.79,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,5,256,40000,3.8118910789489746,0.7646645812919274,0.79,0.775,0.79,0.805,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,6,256,40000,3.5187289714813232,0.7571370066078742,0.76,0.755,0.77,0.79,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,7,256,40000,3.749765634536743,0.748463983317002,0.785,0.7075,0.775,0.76,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,2,256,40000,6.491600513458252,0.8792442400944701,0.9,0.765,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,3,256,40000,7.940885066986084,0.8796223712972038,0.9,0.8,0.9,0.81,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,4,256,40000,6.369765996932983,0.8848245018969375,0.9,0.8875,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,5,256,40000,7.923717737197876,0.8978367377704078,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,6,256,40000,7.539290189743042,0.8958769880153765,1.0,0.8,0.8,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,7,256,40000,7.872057914733887,0.8872076078490491,1.0,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,8,256,40000,7.394975900650024,0.8895191075601115,0.98,0.9,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,9,256,40000,7.688350677490234,0.8837428707821411,0.9,0.8,0.88,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,delta_base,0,256,40000,3.045893669128418,0.695428632446421,0.735,0.695,0.725,0.72,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,1,256,40000,2.6291704177856445,0.7065683023039622,0.755,0.725,0.745,0.735,0.0,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,8,256,40000,3.3030495643615723,0.7572001959749755,0.775,0.79,0.765,0.785,nan,0.0
rotation2d,R2D_rot90,parallel,rmhl_norm,9,256,40000,2.7329657077789307,0.7442888369638955,0.7575000000000001,0.705,0.735,0.78,nan,0.0
rotation2d,R2D_rot90,parallel,delta_base,2,256,40000,2.975693941116333,0.7076157634230296,0.775,0.675,0.73,0.725,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,3,256,40000,2.9321446418762207,0.6980079646240045,0.73,0.74,0.745,0.73,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,4,256,40000,2.978384256362915,0.7168814853898143,0.755,0.755,0.75,0.77,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,5,256,40000,2.897977352142334,0.7056251099218612,0.725,0.715,0.755,0.765,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,6,256,40000,2.61958909034729,0.6947432225320972,0.69,0.635,0.71,0.73,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,7,256,40000,2.5175387859344482,0.7022370040953745,0.76,0.615,0.725,0.71,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,8,256,40000,2.6040985584259033,0.7018429185196352,0.73,0.73,0.715,0.735,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_base,9,256,40000,3.0942399501800537,0.6894297881962765,0.725,0.63,0.685,0.725,0.0,0.0
rotation2d,R2D_rot90,parallel,delta_boost,0,256,40000,2.6140778064727783,0.608669631416296,0.63,0.5525,0.615,0.59,6.278433893805396,9.997860002079058
rotation2d,R2D_rot90,parallel,delta_boost,1,256,40000,2.916935920715332,0.6247393281575839,0.625,0.57,0.67,0.645,5.578583541892119,9.997287647073403
rotation2d,R2D_rot90,parallel,delta_boost,2,256,40000,3.104656219482422,0.6328835958895506,0.725,0.65,0.635,0.615,5.374886646958655,9.997229228204596
rotation2d,R2D_rot90,parallel,delta_boost,3,256,40000,2.9509334564208984,0.584611567548554,0.62,0.64,0.595,0.615,6.807280539096106,9.9979952706522
rotation2d,R2D_rot90,parallel,delta_boost,6,256,40000,2.7878811359405518,0.6192068038491495,0.63,0.56,0.58,0.645,6.13399536359582,9.994
rotation2d,R2D_rot90,parallel,delta_boost,7,256,40000,2.9110724925994873,0.5993687344539081,0.64,0.54,0.57,0.6,6.686767507645838,9.9997624
rotation2d,R2D_rot90,parallel,delta_boost,4,256,40000,3.0499210357666016,0.6295483781814527,0.655,0.635,0.625,0.65,5.749008064498399,9.976477599999999
rotation2d,R2D_rot90,parallel,delta_boost,5,256,40000,2.933584213256836,0.6283423783322026,0.67,0.615,0.675,0.66,5.634742324910183,9.994
rotation2d,R2D_rot90,parallel,rls_online,0,256,40000,2.88535213470459,0.8695434788070651,0.9,0.9,0.9,0.905,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,1,256,40000,2.828685760498047,0.8663299917087511,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,delta_boost,8,256,40000,2.958048105239868,0.6068576166427979,0.66,0.605,0.605,0.65,6.118892998058069,9.997625974022018
rotation2d,R2D_rot90,parallel,delta_boost,9,256,40000,2.9046220779418945,0.6107150574106178,0.65,0.595,0.59,0.655,6.006075407468095,9.979809810662418
rotation2d,R2D_rot90,parallel,rls_online,2,256,40000,2.832629442214966,0.8767794779025652,0.925,0.87,0.935,1.0,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,3,256,40000,2.7370529174804688,0.8758774905153137,0.9,0.835,0.955,1.0,nan,0.0
