topology,alpha_max,kappa,seed_idx,ftle_per_pulse,mc_total,mc_total_test,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,runtime_s
ring_bidir,0.1,23.0,2,-0.08987598063715035,30.5139641400306,13.221629747890283,0.9926299936471924,0.03300152117968004,0.46284179687500004,0.09347219419563,1.4276354312896729
ring_bidir,0.1,23.0,1,-0.08828657978956005,29.791661464838114,14.225892568604216,0.9854862625452109,0.02973962281422946,0.45971354166666667,0.09213376368971855,1.5095648765563965
ring_bidir,0.1,23.0,4,-0.08919323005668947,29.481949612402396,10.687302010517506,0.9850078124366688,0.03545144825223879,0.46241210937500005,0.09358920736952422,1.4996569156646729
ring_bidir,0.1,23.0,7,-0.12958474608113912,29.653932204881542,13.048696911799121,0.986969832159287,0.031748922393304076,0.47428059895833335,0.09675332689170946,1.3652143478393555
ring_bidir,0.1,23.0,3,-0.056662287085768766,29.62547646157133,11.242377078297311,0.9889700739374465,0.032008146673568764,0.44938802083333335,0.08877899607809005,1.6351866722106934
ring_bidir,0.1,23.0,5,-0.08147162973635344,30.061698285877053,8.03723281761214,0.963732100385532,0.03284811660656022,0.46171223958333335,0.09383776248178698,1.4810726642608643
ring_bidir,0.1,23.0,6,-0.09912560556815574,29.661380216223623,10.03358140561383,0.9442079065288921,0.032586153740518244,0.46947265625,0.09541416492797934,1.5453517436981201
ring_bidir,0.1,24.0,0,-0.10901792989398548,30.694554873234665,12.91535164309416,0.9916791971350355,0.03229669172097411,0.48619466145833334,0.0986693761578376,1.2349450588226318
ring_bidir,0.1,23.0,8,-0.10230718362800298,30.071979613159613,11.892924457274408,0.98805247216484,0.03399540051160535,0.47829101562500004,0.09589794836265433,1.5818064212799072
ring_bidir,0.1,23.0,9,-0.09311986111486621,29.55296174084052,12.067104545061865,0.992710414489432,0.032135264782744755,0.47749023437500004,0.09630972776178483,1.3595075607299805
ring_bidir,0.1,24.0,2,-0.08326743487504186,31.36491992153788,11.244494844507171,0.9908722666815145,0.03493612346550673,0.47706054687500005,0.0968344056593933,1.2793335914611816
ring_bidir,0.1,24.0,1,-0.10279431163831987,30.980582584408015,12.749050807533834,0.9847459123451382,0.03020583152465723,0.4708919270833334,0.09574302698322823,1.3917872905731201
ring_bidir,0.1,24.0,5,-0.07835202194959501,30.77957924621115,9.18287917204763,0.9707854412948083,0.03346001262092414,0.475927734375,0.09752095887019153,1.2264623641967773
ring_bidir,0.1,24.0,6,-0.05100168519913071,31.240850114619402,14.752503418472738,0.9909879034059185,0.03407238281381974,0.4825390625,0.09902111144609833,1.2796106338500977
ring_bidir,0.1,24.0,3,-0.07657700721801658,31.137170707918333,12.485068767396912,0.9905386802960502,0.03275189245781508,0.46196940104166667,0.09259222686974353,1.6208274364471436
ring_bidir,0.1,24.0,4,-0.08999172875390227,30.674078980504945,11.309685579627047,0.9827089005000731,0.036223729330685274,0.48177734375000003,0.09800281666335298,1.4711370468139648
ring_bidir,0.1,24.0,8,-0.09054012821662935,31.08320208690762,11.555197577694578,0.9891649617736934,0.03514170831143145,0.4865625,0.09802466570099977,1.1906616687774658
ring_bidir,0.1,24.0,7,-0.09877877080415703,31.219683635965758,13.567528475707853,0.990851687050575,0.03457970184806154,0.4910384114583334,0.10082192897482667,1.351764440536499
ring_bidir,0.1,24.0,9,-0.10553479022867239,30.69508624132973,9.986396645892247,0.9895046031741553,0.033138520485835064,0.4911979166666667,0.09985614274441623,1.1953885555267334
ring_bidir,0.1,25.0,0,-0.11337743334859703,31.852827421413078,9.671398331440935,0.9795998455237258,0.03485967058434856,0.5086165364583334,0.10228229560516879,1.270350456237793
ring_bidir,0.1,25.0,1,-0.07231255524708959,31.96715320117728,13.67200356839912,0.9834540825860484,0.03145491102797118,0.48784505208333334,0.0990562919237196,1.2974050045013428
ring_bidir,0.1,25.0,2,-0.044144490280725195,32.28791349019385,10.6141846453644,0.9884639966381192,0.03508506884081579,0.5032421875,0.10148978839842791,1.4470953941345215
ring_bidir,0.1,25.0,6,0.006095612601089715,32.37486633539919,8.537235119425185,0.9604512742043292,0.035319780202938224,0.5011002604166667,0.10230227934418222,1.1584696769714355
