task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,recovery,post_mean,success_rate
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,9,256,40000,3.519279956817627,0.518974272003216,0,nan,0.023060816160776265,0.5278087161253123,0.5
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,8,256,40000,3.323056697845459,0.5080506771186654,0,nan,-0.025234543674566755,0.502358947368421,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,9,256,40000,3.4792585372924805,0.49219605035049363,0,nan,0.10147953841433124,0.6128731578947368,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,0,256,40000,3.7882282733917236,0.5013972010753499,0,nan,-0.044044956749174434,0.4800242105263158,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,1,256,40000,3.3631715774536133,0.5137560614054923,0,nan,0.188882084076098,0.6903781578947369,0.5263157894736842
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,2,256,40000,3.5849063396453857,0.5004841586894802,0,nan,-0.005458571553815117,0.5177607894736842,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,3,256,40000,3.520752429962158,0.5255165699354287,0,nan,0.24734263260177092,0.765205,0.631578947368421
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,4,256,40000,3.6874125003814697,0.49841649707293784,0,nan,-0.04535573920921127,0.4760015789473684,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,5,256,40000,3.5361697673797607,0.49982362252204726,0,nan,-0.04745384304041616,0.4758647368421053,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,6,256,40000,3.6977169513702393,0.49662546167181726,0,nan,0.0327616273123119,0.5518810526315789,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,2.0,100,7,256,40000,3.5566627979278564,0.5070145222481848,0,nan,0.021634456369268504,0.5368115789473683,0.47368421052631576
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,0,256,40000,3.470391273498535,0.5227118665360168,0,nan,-0.005272047334285397,0.4965016666666666,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,1,256,40000,3.3719234466552734,0.5118661591417301,0,nan,0.15798597812289258,0.6709211111111112,0.5384615384615384
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,6,256,40000,3.2987680435180664,0.518881183889852,0,nan,0.0034777105398865658,0.5016244444444445,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,7,256,40000,3.424779176712036,0.5148551543931057,0,nan,0.08794277559601726,0.597445,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,4,256,40000,3.558375597000122,0.5239686188789227,0,nan,-0.0008806622634773645,0.5027738888888889,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,5,256,40000,3.5370471477508545,0.5097982462752191,0,nan,0.025127579634257574,0.5238433333333333,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,2,256,40000,3.667382001876831,0.5244785306901837,0,nan,0.002923890376452881,0.5072655555555555,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,3,256,40000,3.536094903945923,0.5180170096228738,0,nan,0.23253112697846004,0.7706605555555553,0.6153846153846154
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,8,256,40000,3.4990670680999756,0.5210950729881159,0,nan,0.033964992859693004,0.5479866666666666,0.46153846153846156
