arm,lr,rank,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,runtime_s
A1-lr1e-02-r32,0.01,32,0,17.70401553559275,nan,20.0,62.19379874516985,2.2319655418395996
A1-lr1e-02-r32,0.01,32,1,22.75161628076317,nan,20.0,38.61307654261424,3.9342453479766846
A1-lr1e-02-r32,0.01,32,2,23.377172345193966,nan,20.0,53.2666286094415,2.2587051391601562
A1-lr1e-02-r32,0.01,32,3,20.61253732056471,nan,20.0,65.20167864523646,3.392260789871216
A1-lr1e-02-r32,0.01,32,4,17.21867980399596,nan,20.0,55.55647107029423,3.1596546173095703
A1-lr1e-02-r32,0.01,32,5,20.707969824691702,nan,20.0,35.80280181860877,2.078120470046997
A1-lr1e-02-r32,0.01,32,6,15.315046264442215,nan,20.0,90.16690511184332,2.3431265354156494
A1-lr1e-02-r32,0.01,32,7,25.031181811240298,nan,20.0,67.49095018418838,2.3488144874572754
A1-lr1e-02-r32,0.01,32,8,18.10841226397281,nan,20.0,44.78447124273201,2.2030701637268066
A1-lr1e-02-r32,0.01,32,9,21.868161919105088,nan,20.0,36.203078733252696,2.7238669395446777
A3-lr1e-03-r16,0.001,16,0,23.307777512685206,nan,20.0,11.958012196988275,2.4893856048583984
A3-lr1e-03-r16,0.001,16,1,21.489333605093805,nan,20.0,10.620304765133366,2.873314380645752
A3-lr1e-03-r16,0.001,16,2,21.867725138428536,nan,20.0,10.593052294068189,2.5309574604034424
A3-lr1e-03-r16,0.001,16,3,20.53210594747375,nan,20.0,10.778263838972396,2.590437412261963
A3-lr1e-03-r16,0.001,16,4,21.223083543977506,nan,20.0,10.255867916763744,2.4437341690063477
A3-lr1e-03-r16,0.001,16,5,21.68665780157692,nan,20.0,11.04071758749093,2.429306983947754
A3-lr1e-03-r16,0.001,16,6,22.135206037128658,nan,20.0,10.91649146685903,2.483701705932617
A3-lr1e-03-r16,0.001,16,7,22.730263038681027,nan,20.0,11.148151163428977,2.802809476852417
A3-lr1e-03-r16,0.001,16,8,21.71503976975201,nan,20.0,11.021062621022963,4.59912371635437
A3-lr1e-03-r16,0.001,16,9,21.002837375688628,nan,20.0,10.114799884470441,9.258317470550537
