task,substrate,readout,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all,nmse_final30
drift_binary,random_graph_k25,rls_dense,7,256,40000,313.9216582775116,1.0,1.0,0.9947654581543178,
narma10,random_graph_k25,rls_dense,4,256,21000,154.34825921058655,,,,nan
narma10,random_graph_k25,rls_dense,5,256,21000,45.61106872558594,,,,0.41555077708104826
narma10,random_graph_k25,rls_dense,2,256,21000,171.0371811389923,,,,0.41996271549461817
narma10,random_graph_k25,rls_dense,3,256,21000,47.710800886154175,,,,0.44800516450873806
narma10,random_graph_k25,rls_dense,8,256,21000,142.8161084651947,,,,nan
narma10,random_graph_k25,rls_dense,9,256,21000,51.31272268295288,,,,nan
narma10,random_graph_k25,rls_dense,6,256,21000,143.7230203151703,,,,0.4103608972520652
narma10,random_graph_k25,rls_dense,7,256,21000,52.731685638427734,,,,nan
mackey_glass,parallel,rls_dense,0,256,21000,48.52454161643982,,,,0.09603558020536154
mackey_glass,parallel,rls_dense,1,256,21000,43.041351556777954,,,,0.09130260544897827
mackey_glass,parallel,rls_dense,2,256,21000,52.31881880760193,,,,0.09215742262936255
mackey_glass,parallel,rls_dense,3,256,21000,37.73315715789795,,,,0.08943297088637146
mackey_glass,parallel,rls_dense,4,256,21000,49.13908553123474,,,,0.09932672956553484
mackey_glass,parallel,rls_dense,5,256,21000,39.34702157974243,,,,0.09053219056488739
mackey_glass,parallel,rls_dense,8,256,21000,47.16620850563049,,,,0.08801629765224547
mackey_glass,parallel,rls_dense,9,256,21000,37.376994371414185,,,,0.09065491017847026
mackey_glass,parallel,rls_dense,6,256,21000,48.989142179489136,,,,0.08881539276252745
mackey_glass,parallel,rls_dense,7,256,21000,36.045493841171265,,,,0.10554163507478609
mackey_glass,random_graph_k25,rls_dense,0,256,21000,43.313223123550415,,,,0.0015625559961137759
mackey_glass,random_graph_k25,rls_dense,1,256,21000,23.53885006904602,,,,0.002000554178140489
mackey_glass,random_graph_k25,rls_dense,2,256,21000,43.81601643562317,,,,0.002025649649442455
mackey_glass,random_graph_k25,rls_dense,3,256,21000,22.83513641357422,,,,0.0013262397845201948
mackey_glass,random_graph_k25,rls_dense,4,256,21000,40.983025312423706,,,,0.0015721603889484737
mackey_glass,random_graph_k25,rls_dense,5,256,21000,23.535665035247803,,,,0.0017207728711413116
mackey_glass,random_graph_k25,rls_dense,8,256,21000,39.61813998222351,,,,0.0018743194274675266
mackey_glass,random_graph_k25,rls_dense,9,256,21000,21.3694965839386,,,,0.0015014216286487697
mackey_glass,random_graph_k25,rls_dense,6,256,21000,41.573806047439575,,,,0.0026248362646442186
mackey_glass,random_graph_k25,rls_dense,7,256,21000,20.900541305541992,,,,0.0019174096610415452
