arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,switches_detected,n_switches,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
A3,1000.0,9,14.663946019902571,0.0288349352741819,20.0,7.020966114573456,0,5,0.0288349352741819,6.991738700799344,519,0.006412825651302605,0.006412825651302605,5.906049447842955,16,5.871532917022705
A3,2000.0,0,15.063600878089536,0.02689038279904439,20.0,8.097869666622838,0,5,0.02689038279904439,7.566195534321656,484,0.010821643286573146,0.010821643286573146,6.129935033681887,27,5.562873363494873
A3,2000.0,1,15.663688057639419,0.027779321073392968,20.0,9.853478421725978,0,5,0.027779321073392968,7.694122030223165,500,0.010420841683366733,0.010420841683366733,7.475746712125148,26,5.581170082092285
A3,2000.0,2,15.936928722887666,0.028057114284126897,20.0,9.015062185140327,0,5,0.028057114284126897,7.7751721132073355,505,0.008817635270541082,0.008817635270541082,7.162165950860664,22,5.5979695320129395
A3,2000.0,3,16.633158616832958,0.02894605255847547,20.0,8.374622206385151,0,5,0.02894605255847547,7.937135863948678,521,0.006813627254509018,0.006813627254509018,7.076304358242427,17,5.609189987182617
A3,2000.0,4,15.910185048506275,0.028334907494860825,20.0,7.568860877104508,0,5,0.028334907494860825,7.7051884090612734,510,0.0056112224448897794,0.0056112224448897794,6.539037536030935,14,5.926117181777954
A3,2000.0,5,16.10206535284913,0.028390466137007613,20.0,8.159056353445624,0,5,0.028390466137007613,7.7894406004705905,511,0.007214428857715431,0.007214428857715431,6.77363891379345,18,5.668247222900391
A3,2000.0,6,15.86712926148338,0.02694594144119118,20.0,8.899973848929177,0,5,0.02694594144119118,7.969611199284888,485,0.007615230460921844,0.007615230460921844,7.341040267581197,19,5.692734718322754
A3,2000.0,7,15.733079079088359,0.028057114284126897,20.0,7.548697960298261,0,5,0.028057114284126897,7.672867769878097,505,0.004809619238476954,0.004809619238476954,6.650400227604533,12,5.708733320236206
A3,2000.0,8,15.860767733900591,0.02800155564198011,20.0,8.493265942457226,0,5,0.02800155564198011,7.748268308654598,504,0.0052104208416833666,0.0052104208416833666,7.389502502131279,13,5.667743444442749
A3,2000.0,9,15.577662639516321,0.027612645146952608,20.0,7.782720254123729,0,5,0.027612645146952608,7.684302154560065,497,0.0056112224448897794,0.0056112224448897794,6.6729637489417515,14,5.629896402359009
