task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,alpha_final,dwell_final,recovery,post_mean,success_rate
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,4,256,40000,4.899593830108643,0.49841649707293784,0,nan,nan,nan,-0.04535573920921127,0.4760015789473684,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,5,256,40000,4.9916911125183105,0.49982362252204726,0,nan,nan,nan,-0.04745384304041616,0.4758647368421053,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,6,256,40000,4.665970802307129,0.49662546167181726,0,nan,nan,nan,0.0327616273123119,0.5518810526315789,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,7,256,40000,5.134463787078857,0.5070145222481848,0,nan,nan,nan,0.021634456369268504,0.5368115789473683,0.47368421052631576
adaptive_meta,random_graph_k25,meta_self,0.24,12,0,256,40000,4.675774335861206,0.48936785507901814,12,-0.018411098834508928,0.02,100.0,-0.0028161426192575066,0.48800075301204826,0.39759036144578314
adaptive_meta,random_graph_k25,meta_self,0.24,12,1,256,40000,4.908306360244751,0.48976382502952176,6,0.012534249100097837,0.02,100.0,-0.007118737143696735,0.4856576305220883,0.39156626506024095
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,2,256,40000,5.580498456954956,0.5004841586894802,0,nan,nan,nan,-0.005458571553815117,0.5177607894736842,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,3,256,40000,5.050536632537842,0.5255165699354287,0,nan,nan,nan,0.24734263260177092,0.765205,0.631578947368421
adaptive_meta,random_graph_k25,meta_self,0.24,12,6,256,40000,4.883548021316528,0.4898105575236803,4,0.00888066214696568,0.02,100.0,-0.006199805318836314,0.48446234939759036,0.39759036144578314
adaptive_meta,random_graph_k25,meta_self,0.24,12,7,256,40000,4.81891393661499,0.49207658099042734,14,-0.08093958992675326,0.02,100.0,-0.008416091194044472,0.4860700301204819,0.1566265060240964
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,8,256,40000,4.97764778137207,0.5080506771186654,0,nan,nan,nan,-0.025234543674566755,0.502358947368421,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,9,256,40000,5.271457672119141,0.49219605035049363,0,nan,nan,nan,0.10147953841433124,0.6128731578947368,0.47368421052631576
adaptive_meta,random_graph_k25,meta_self,0.24,12,2,256,40000,4.866726875305176,0.4933605939549257,1,0.011256323147334005,0.02,100.0,-0.00752604625820355,0.4881842369477912,0.4397590361445783
adaptive_meta,random_graph_k25,meta_self,0.24,12,3,256,40000,5.033857345581055,0.4963227054596618,1,0.011525017578560948,0.02,100.0,-0.014519008962679977,0.48417570281124495,0.2710843373493976
adaptive_meta,random_graph_k25,meta_self,0.24,12,4,256,40000,5.2019572257995605,0.4913412979573378,4,-0.023405951972992133,0.02,100.0,-0.004726062787736321,0.4882412148594377,0.4578313253012048
adaptive_meta,random_graph_k25,meta_self,0.24,12,5,256,40000,4.854790687561035,0.48577699052787626,3,-0.025399859388283597,0.02,100.0,-0.008286977177000686,0.4788433734939759,0.41566265060240964
adaptive_meta,random_graph_k25,meta_self,0.5,25,2,256,40000,4.648315906524658,0.47924876259390464,2,-0.02758645586809836,0.02,100.0,-0.0029775903431275793,0.478343476144109,0.189873417721519
adaptive_meta,random_graph_k25,meta_self,0.5,25,3,256,40000,4.429875612258911,0.5105183286852089,3,0.0020306732019661766,0.02,100.0,-0.002397701721299007,0.5098052580331061,0.16455696202531644
adaptive_meta,random_graph_k25,meta_self,0.24,12,8,256,40000,4.62850546836853,0.49174128790733906,4,0.013710004306401243,0.02,100.0,-0.011006954647859732,0.48220456827309227,0.3795180722891566
adaptive_meta,random_graph_k25,meta_self,0.24,12,9,256,40000,4.839102506637573,0.49980565814929273,8,0.0026091595482818225,0.02,100.0,-0.006152334949554314,0.49577259036144583,0.4397590361445783
adaptive_meta,random_graph_k25,meta_self,0.5,25,0,256,40000,4.662929534912109,0.48392000200999974,1,-0.012926710426817062,0.02,100.0,0.006436496197355773,0.49268305744888025,0.25316455696202533
adaptive_meta,random_graph_k25,meta_self,0.5,25,1,256,40000,4.728088617324829,0.4970351247456094,1,0.00824244503977653,0.02,100.0,0.01084837328994231,0.5092470788704967,0.16455696202531644
adaptive_meta,random_graph_k25,meta_self,0.5,25,4,256,40000,4.606746196746826,0.49798937212632843,3,0.012625939857526093,0.02,100.0,-0.0075788561335632,0.4959177215189873,0.4810126582278481
adaptive_meta,random_graph_k25,meta_self,0.5,25,5,256,40000,5.040171384811401,0.4854229793221276,3,0.013492269554814244,0.02,100.0,-0.006549296761525224,0.4805170399221032,0.26582278481012656
adaptive_meta,random_graph_k25,meta_self,1.0,50,2,256,40000,4.775251150131226,0.4856053867993266,4,-0.002783687929127948,0.02,100.0,0.015588673613111798,0.5034835897435898,0.1794871794871795
adaptive_meta,random_graph_k25,meta_self,1.0,50,3,256,40000,4.664623975753784,0.511121328609834,5,-0.06001876564097543,0.02,100.0,0.10453569288389516,0.6167261538461538,0.38461538461538464
adaptive_meta,random_graph_k25,meta_self,0.5,25,6,256,40000,5.1444091796875,0.4866262154217231,3,0.011357572360055634,0.02,100.0,0.016043146182636914,0.5040596397273612,0.3924050632911392
adaptive_meta,random_graph_k25,meta_self,0.5,25,7,256,40000,4.894880294799805,0.49483719002035126,4,-0.0611133814694769,0.02,100.0,0.00443175300119369,0.5016195228821811,0.13924050632911392
adaptive_meta,random_graph_k25,meta_self,0.5,25,8,256,40000,5.216406345367432,0.497901183387352,1,0.00824244503977653,0.02,100.0,0.011037232076136994,0.5112624148003896,0.43037974683544306
adaptive_meta,random_graph_k25,meta_self,0.5,25,9,256,40000,4.818904161453247,0.500140071857491,3,-0.026616484122382315,0.02,100.0,-0.0016042472834789882,0.5038902142161635,0.4430379746835443
adaptive_meta,random_graph_k25,meta_self,1.0,50,0,256,40000,5.119905471801758,0.4943370769578654,3,0.009602544016236711,0.02,100.0,0.035262317295688086,0.5400820512820513,0.46153846153846156
adaptive_meta,random_graph_k25,meta_self,1.0,50,1,256,40000,4.953027009963989,0.5005003643124545,4,-0.00996330843246293,0.02,100.0,0.09097332693107973,0.5913623076923076,0.46153846153846156
adaptive_meta,random_graph_k25,meta_self,1.0,50,6,256,40000,5.12260365486145,0.49064897866887763,4,-0.017150901071575478,0.02,100.0,0.06483432344185151,0.5665351282051281,0.48717948717948717
adaptive_meta,random_graph_k25,meta_self,1.0,50,7,256,40000,4.846661806106567,0.49927150071606236,2,-0.02490226840498519,0.02,100.0,0.10250890809564968,0.5975833333333334,0.48717948717948717
adaptive_meta,random_graph_k25,meta_self,1.0,50,4,256,40000,5.220269441604614,0.49778837215145344,4,-0.008705465012518857,0.02,100.0,0.010599911328787733,0.5195769230769232,0.46153846153846156
adaptive_meta,random_graph_k25,meta_self,1.0,50,5,256,40000,5.224599599838257,0.4860008542498932,5,-0.018944293933897044,0.02,100.0,0.02902253881366243,0.5185235897435897,0.23076923076923078
adaptive_meta,random_graph_k25,meta_self,2.0,100,0,256,40000,4.869877099990845,0.5936782995402126,19,0.5542988249087674,0.02,100.0,0.33994556956661504,0.9363305263157896,1.0
adaptive_meta,random_graph_k25,meta_self,2.0,100,1,256,40000,4.9634222984313965,0.5958645511419312,19,0.5542988249087674,0.02,100.0,0.3391497156550454,0.9379878947368422,1.0
adaptive_meta,random_graph_k25,meta_self,1.0,50,8,256,40000,5.017404556274414,0.4997101831612272,5,-0.000980031503723,0.02,100.0,0.11411811709721818,0.616697435897436,0.28205128205128205
