task,rot_span,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
rotation2d,100,random_graph_k25,delta_base,7,256,40000,5.878078460693359,0.7915595085550614,0.81,0.725,0.79
rotation2d,40,parallel,delta_base,8,256,40000,2.3316192626953125,0.7207101580362303,0.73,0.625,0.735
rotation2d,40,parallel,delta_base,9,256,40000,2.5142414569854736,0.7154224768221904,0.725,0.64,0.725
rotation2d,100,random_graph_k25,delta_base,8,256,40000,5.712108135223389,0.7971208009848999,0.81,0.7,0.855
rotation2d,100,random_graph_k25,delta_base,9,256,40000,6.056564092636108,0.7866865154141855,0.79,0.79,0.825
rotation2d,40,random_graph_k25,rls_online,0,256,40000,5.95035457611084,0.9346197331725334,0.935,0.8,1.0
rotation2d,40,random_graph_k25,rls_online,1,256,40000,5.682388782501221,0.9337679957790006,1.0,0.8374999999999999,1.0
rotation2d,40,random_graph_k25,rls_online,2,256,40000,5.7449798583984375,0.922686615914173,0.9,0.725,1.0
rotation2d,40,random_graph_k25,rls_online,3,256,40000,5.586251974105835,0.9184128539483932,0.9,0.7,0.89
rotation2d,40,random_graph_k25,rls_online,4,256,40000,6.34449577331543,0.9210044973744379,0.9,0.765,1.0
rotation2d,40,random_graph_k25,rls_online,5,256,40000,4.997071027755737,0.9407766136529234,0.9,0.8,1.0
rotation2d,40,random_graph_k25,rls_online,6,256,40000,6.435469150543213,0.9369551016306122,1.0,0.785,1.0
rotation2d,40,random_graph_k25,rls_online,7,256,40000,5.063670873641968,0.9360267329966584,1.0,0.8,1.0
rotation2d,40,random_graph_k25,rls_online,8,256,40000,6.40510106086731,0.9332366020954247,0.98,0.785,1.0
rotation2d,40,random_graph_k25,rls_online,9,256,40000,5.237401962280273,0.9277882465264691,0.9,0.765,1.0
rotation2d,40,random_graph_k25,delta_base,0,256,40000,6.39933443069458,0.804159191980101,0.79,0.715,0.79
rotation2d,40,random_graph_k25,delta_base,1,256,40000,4.735058307647705,0.8059026155121729,0.82,0.62,0.83
rotation2d,40,random_graph_k25,delta_base,2,256,40000,6.402562856674194,0.8025233034345871,0.81,0.685,0.81
rotation2d,40,random_graph_k25,delta_base,3,256,40000,4.402137994766235,0.7896194819225647,0.8,0.605,0.79
rotation2d,40,random_graph_k25,delta_base,4,256,40000,6.172394275665283,0.799151151981106,0.785,0.635,0.825
rotation2d,40,random_graph_k25,delta_base,5,256,40000,4.628724098205566,0.8052008743498907,0.815,0.62,0.84
rotation2d,40,random_graph_k25,delta_base,6,256,40000,4.367640256881714,0.798694630788171,0.79,0.565,0.825
rotation2d,40,random_graph_k25,delta_base,7,256,40000,2.040144920349121,0.797730207783724,0.81,0.615,0.785
rotation2d,40,random_graph_k25,delta_base,8,256,40000,3.605206251144409,0.8031123589859551,0.81,0.705,0.845
rotation2d,40,random_graph_k25,delta_base,9,256,40000,1.8416943550109863,0.79268535966433,0.79,0.635,0.815
