substrate,kappa_int,reward_every,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all
random_graph_k25,0.5,1,2,256,40000,5.830246686935425,0.93,0.0675,0.5020921584884801
random_graph_k25,0.5,1,3,256,40000,6.134998083114624,0.93,0.055,0.5018953041380869
random_graph_k25,0.5,1,8,256,40000,5.866387128829956,0.055,0.945,0.4992275319715585
random_graph_k25,0.5,1,9,256,40000,6.224290370941162,0.05,0.93,0.49845292831838395
random_graph_k25,0.5,5,2,256,40000,6.006194591522217,0.93,0.0675,0.5020921584884801
random_graph_k25,0.5,5,3,256,40000,5.717059373855591,0.93,0.055,0.5018953041380869
random_graph_k25,2.0,1,0,256,40000,5.935664892196655,0.055,0.96,0.5053932062008492
random_graph_k25,2.0,1,1,256,40000,5.434252023696899,0.93,0.055,0.5011619054797618
random_graph_k25,0.5,5,4,256,40000,5.996450185775757,0.07,0.93,0.4997601819049773
random_graph_k25,0.5,5,5,256,40000,5.894118547439575,0.07,0.925,0.49992650938418626
random_graph_k25,0.5,5,8,256,40000,5.978310585021973,0.055,0.945,0.4992314263460717
random_graph_k25,0.5,5,9,256,40000,5.723973751068115,0.05,0.93,0.498529559558805
random_graph_k25,2.0,1,8,256,40000,4.236351490020752,0.055,0.945,0.4992275319715585
random_graph_k25,2.0,1,9,256,40000,3.5548739433288574,0.05,0.93,0.49845292831838395
random_graph_k25,2.0,1,4,256,40000,4.1252546310424805,0.93,0.07,0.4995722469284691
random_graph_k25,2.0,1,5,256,40000,4.579880475997925,0.07,0.925,0.4999155800105525
random_graph_k25,2.0,1,6,256,40000,4.240428447723389,0.07,0.945,0.5021637647295294
random_graph_k25,2.0,1,7,256,40000,4.302818775177002,0.945,0.07,0.5002072812240899
random_graph_k25,2.0,5,0,256,40000,4.276226043701172,0.945,0.04,0.49463304942086883
random_graph_k25,2.0,5,1,256,40000,4.072605133056641,0.93,0.055,0.5011229617346298
random_graph_k25,2.0,5,2,256,40000,4.31782078742981,0.93,0.0675,0.5020921584884801
random_graph_k25,2.0,5,3,256,40000,3.4431869983673096,0.07,0.945,0.4980859777392528
random_graph_k25,2.0,5,4,256,40000,4.160728931427002,0.07,0.93,0.4997601819049773
random_graph_k25,2.0,5,5,256,40000,3.030341625213623,0.07,0.925,0.49992650938418626
random_graph_k25,2.0,5,8,256,40000,4.366560459136963,0.055,0.945,0.4992314263460717
random_graph_k25,2.0,5,9,256,40000,2.5513429641723633,0.05,0.93,0.498529559558805
random_graph_k25,2.0,5,6,256,40000,4.476350784301758,0.93,0.055,0.49786261651717295
random_graph_k25,2.0,5,7,256,40000,2.5441136360168457,0.055,0.93,0.49984070751991155
