pulses,M_cv0.02,M_cv0.2,M_cv0.5,M_cv1.0,single_exp
61.6243,2.035737e-02,2.310474e-02,3.289291e-02,4.557413e-02,2.032736e-02
63.7954,1.774936e-02,2.041495e-02,3.002183e-02,4.277320e-02,1.772033e-02
66.043,1.540103e-02,1.796986e-02,2.734737e-02,4.010680e-02,1.537313e-02
68.3698,1.329686e-02,1.575599e-02,2.486141e-02,3.757116e-02,1.327024e-02
70.7786,1.142101e-02,1.375963e-02,2.255571e-02,3.516242e-02,1.139579e-02
73.2723,9.757468e-03,1.196691e-02,2.042190e-02,3.287666e-02,9.733747e-03
75.8538,8.290213e-03,1.036394e-02,1.845157e-02,3.070992e-02,8.268060e-03
78.5263,7.003348e-03,8.936929e-03,1.663630e-02,2.865823e-02,6.982807e-03
81.2929,5.881252e-03,7.672268e-03,1.496769e-02,2.671756e-02,5.862345e-03
84.157,4.908713e-03,6.556656e-03,1.343745e-02,2.488391e-02,4.891438e-03
87.122,4.071043e-03,5.577177e-03,1.203735e-02,2.315326e-02,4.055378e-03
90.1914,3.354186e-03,4.721384e-03,1.075935e-02,2.152162e-02,3.340089e-03
93.369,2.744807e-03,3.977368e-03,9.595582e-03,1.998500e-02,2.732220e-03
96.6586,2.230365e-03,3.333816e-03,8.538379e-03,1.853949e-02,2.219216e-03
100.064,1.799170e-03,2.780059e-03,7.580317e-03,1.718118e-02,1.789375e-03
103.589,1.440422e-03,2.306106e-03,6.714229e-03,1.590623e-02,1.431888e-03
107.239,1.144231e-03,1.902668e-03,5.933226e-03,1.471087e-02,1.136860e-03
111.017,9.016226e-04,1.561170e-03,5.230710e-03,1.359139e-02,8.953115e-04
114.929,7.045311e-04,1.273752e-03,4.600390e-03,1.254416e-02,6.991764e-04
118.978,5.457736e-04,1.033263e-03,4.036289e-03,1.156561e-02,5.412725e-04
123.17,4.190154e-04,8.332411e-04,3.532748e-03,1.065229e-02,4.152680e-04
127.509,3.187250e-04,6.678924e-04,3.084433e-03,9.800823e-03,3.156357e-04
132.002,2.401209e-04,5.320590e-04,2.686332e-03,9.007922e-03,2.375999e-04
136.652,1.791123e-04,4.211836e-04,2.333755e-03,8.270412e-03,1.770765e-04
141.467,1.322365e-04,3.312696e-04,2.022329e-03,7.585213e-03,1.306101e-04
146.451,9.659427e-05,2.588392e-04,1.747990e-03,6.949354e-03,9.530943e-05
151.61,6.978527e-05,2.008888e-04,1.506976e-03,6.359965e-03,6.878182e-05
