task,substrate,readout,forgetting,seed_idx,n_units,t_total,runtime_s,w_norm,pre_steady_acc,pre_stability_std,post_swap_acc,adapt_time_pulses,mean_acc_all,nmse_final30
drift_binary,random_graph_k25,rls,0.999,6,256,40000,124.29289555549622,117.06490484723507,1.0,0.0,1.0,301.0,0.9716868922891385,
drift_binary,random_graph_k25,rls,0.999,7,256,40000,90.49742841720581,34.7821073023293,1.0,0.0,1.0,144.0,0.9959036205120474,
mackey_glass,parallel,rls,0.999,6,256,21000,36.79125905036926,570.3750398490334,,,,,,0.08853876460949343
mackey_glass,parallel,rls,0.999,7,256,21000,32.833603858947754,1786.9552294457903,,,,,,0.09768703685560023
drift_binary,parallel,rls,0.999,0,256,40000,107.04358148574829,439.0852078214871,0.99,0.004387197283004268,0.98,1002.0,0.9811959498505063,
drift_binary,parallel,rls,0.999,1,256,40000,110.588876247406,548.7969928967549,0.985,0.0038402473878644885,0.975,241.0,0.9824241853219767,
mackey_glass,parallel,rls,0.999,8,256,21000,35.1420476436615,764.894218762077,,,,,,0.08745069103926617
mackey_glass,parallel,rls,0.999,9,256,21000,30.03915810585022,1151.9513190501382,,,,,,0.08859970907014758
mackey_glass,parallel,rls,0.999,2,256,21000,43.1119065284729,1027.555112549161,,,,,,0.0898193377135067
mackey_glass,parallel,rls,0.999,3,256,21000,41.1434760093689,916.5074441418118,,,,,,0.08835048700989134
mackey_glass,parallel,rls,0.999,4,256,21000,55.44969177246094,1577.4080580180866,,,,,,0.0938540708780104
mackey_glass,parallel,rls,0.999,5,256,21000,32.30779218673706,1140.3134503342465,,,,,,0.08855555397209182
mackey_glass,random_graph_k25,rls,0.999,2,256,21000,31.801048278808594,19.82834255512578,,,,,,0.002025750945328426
mackey_glass,random_graph_k25,rls,0.999,3,256,21000,22.45939540863037,19.537050610762776,,,,,,0.0013263447161564628
mackey_glass,random_graph_k25,rls,0.999,0,256,21000,41.35288333892822,23.914543657899408,,,,,,0.0015626956445866209
mackey_glass,random_graph_k25,rls,0.999,1,256,21000,19.04610514640808,19.27765305823054,,,,,,0.002000688467912576
mackey_glass,random_graph_k25,rls,0.999,4,256,21000,39.254295349121094,21.885334297085837,,,,,,0.0015723065889852608
mackey_glass,random_graph_k25,rls,0.999,5,256,21000,17.763245582580566,17.548176951236275,,,,,,0.0017208544663327545
mackey_glass,random_graph_k25,rls,0.999,6,256,21000,34.49541211128235,19.20424237418031,,,,,,0.002624979943808893
mackey_glass,random_graph_k25,rls,0.999,7,256,21000,18.894484043121338,18.431065050178205,,,,,,0.0019175321667830232
mackey_glass,random_graph_k25,rls,0.999,8,256,21000,33.532644748687744,17.44801545718053,,,,,,0.001874526204574578
mackey_glass,random_graph_k25,rls,0.999,9,256,21000,17.131784439086914,15.614257926954894,,,,,,0.0015015035486593668
