arm,seed,lr_scale,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_readout,n_params_gate,n_params_host,runtime_s
F-Skip-sub-softmax,2.0,1.0,sub,softmax_sgd,8.326256118035984,0.0,0.0,0.0,9.819976950907868,10.860716887130748,0.0,27.56564091772008,nan,nan,5152.0,0.0,0.0,17.33324646949768
F-Skip-sub-softmax,3.0,1.0,sub,softmax_sgd,7.921039867183009,0.0,0.0,0.0,9.603371720921714,9.784047527935932,0.0,31.941399318565093,nan,nan,5152.0,0.0,0.0,27.53020167350769
F-Skip-sub-softmax,4.0,1.0,sub,softmax_sgd,8.146911343049293,0.0,0.0,0.0,9.99624333186252,11.399960036049748,0.0,29.171199169046247,nan,nan,5152.0,0.0,0.0,23.232165336608887
F-Skip-sub-softmax,5.0,1.0,sub,softmax_sgd,7.85518903567486,0.0,0.0,0.0,8.547006051520132,9.275690869982839,0.0,31.782089506279515,nan,nan,5152.0,0.0,0.0,21.25749135017395
F-Skip-sub-softmax,6.0,1.0,sub,softmax_sgd,7.607521961149749,0.0,0.0,0.0,9.259451640953134,10.921707709900899,0.0,33.75536324090258,nan,nan,5152.0,0.0,0.0,22.14505887031555
F-Skip-sub-softmax,7.0,1.0,sub,softmax_sgd,8.738462866725321,0.0,0.0,0.0,10.403112535242272,11.329194061272382,0.0,23.405193508923205,nan,nan,5152.0,0.0,0.0,27.073270320892334
F-Skip-sub-softmax,8.0,1.0,sub,softmax_sgd,8.56596000187476,0.0,0.0,0.0,14.910011199006039,12.425244791618207,0.0,27.603990244699,nan,nan,5152.0,0.0,0.0,23.88342833518982
F-Skip-sub-softmax,9.0,1.0,sub,softmax_sgd,8.214277581124572,0.0,0.0,0.0,20.151230655254007,23.071307377864333,0.0,31.277491050966926,nan,nan,5152.0,0.0,0.0,19.539632558822632
X-SelSSM-frozen,0.0,1.0,selsmm_frozen,softmax_sgd,9.080216222473728,0.0,0.0,0.0,10.364145982124032,12.471925971097123,0.0,21.849103662996963,nan,nan,8224.0,0.0,24864.0,124.5698778629303
X-SelSSM-frozen,1.0,1.0,selsmm_frozen,softmax_sgd,8.543620983596478,0.0,0.0,0.0,9.828224853928806,11.522867110706555,0.0,23.218158866148205,nan,nan,8224.0,0.0,24864.0,122.00110507011414
X-SelSSM-frozen,2.0,1.0,selsmm_frozen,softmax_sgd,9.288880028864734,0.0,0.0,0.0,9.952784678482299,11.070561710970239,0.0,17.36113005284146,nan,nan,8224.0,0.0,24864.0,122.01980638504028
X-SelSSM-frozen,3.0,1.0,selsmm_frozen,softmax_sgd,9.018530522204355,0.0,0.0,0.0,10.927655261502341,13.116176771325618,0.0,21.00873376747328,nan,nan,8224.0,0.0,24864.0,123.36001682281494
X-SelSSM-frozen,4.0,1.0,selsmm_frozen,softmax_sgd,8.997954206063206,0.0,0.0,0.0,10.017653155102797,10.952966329120288,0.0,21.30993530959658,nan,nan,8224.0,0.0,24864.0,121.16469526290894
X-SelSSM-frozen,5.0,1.0,selsmm_frozen,softmax_sgd,8.97634857039377,0.0,0.0,0.0,10.854381786915518,11.872206780976759,0.0,20.29413555637048,nan,nan,8224.0,0.0,24864.0,117.7770037651062
X-SelSSM-frozen,6.0,1.0,selsmm_frozen,softmax_sgd,8.963412839370745,0.0,0.0,0.0,9.975989803164028,11.803880031223036,0.0,21.675665820743045,nan,nan,8224.0,0.0,24864.0,68.88872051239014
X-SelSSM-frozen,7.0,1.0,selsmm_frozen,softmax_sgd,9.197422122038251,0.0,0.0,0.0,9.530889943946187,10.9740141502884,0.0,21.065157342983554,nan,nan,8224.0,0.0,24864.0,68.3287262916565
X-SelSSM-frozen,8.0,1.0,selsmm_frozen,softmax_sgd,9.042084035796337,0.0,0.0,0.0,10.969149615409314,10.643826701117042,0.0,20.689353482132912,nan,nan,8224.0,0.0,24864.0,67.0814962387085
