task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,2Dcircle,20,20.0,256,1,40000,5.902865886688232,0.8140624607421925,0.9,0.8933333333333333
kernel_capacity,2Dcircle,20,20.0,256,2,40000,6.688018083572388,0.7842617019672873,0.9,0.865
kernel_capacity,2Dcircle,20,20.0,256,3,40000,5.854897737503052,0.8234378533202684,0.9,0.8816666666666667
kernel_capacity,2Dcircle,20,20.0,256,4,40000,6.384283065795898,0.7852001205999849,0.8,0.8583333333333333
kernel_capacity,2Dcircle,20,20.0,256,5,40000,7.4419896602630615,0.7943405944574258,0.9,0.8866666666666667
kernel_capacity,2Dcircle,20,20.0,256,6,40000,5.852917671203613,0.8018328685208914,0.9,0.8433333333333334
kernel_capacity,2Dcircle,20,20.0,256,7,40000,7.347915172576904,0.810174367478204,0.9,0.885
kernel_capacity,2Dcircle,20,20.0,256,8,40000,5.697068691253662,0.8091932363508454,0.895,0.8883333333333333
kernel_capacity,2Dcircle,20,20.0,256,9,40000,6.6090171337127686,0.8344187331976585,0.9,0.9033333333333333
kernel_capacity,2Dcircle,20,25.0,256,0,40000,6.4129319190979,0.817135247858094,0.9,0.9083333333333333
kernel_capacity,2Dcircle,20,25.0,256,1,40000,5.659147500991821,0.8290156026230497,0.9,0.9283333333333333
kernel_capacity,2Dcircle,20,25.0,256,2,40000,6.4002156257629395,0.8272807215899097,0.9,0.9116666666666666
kernel_capacity,2Dcircle,20,25.0,256,3,40000,5.771234750747681,0.8239880907514887,0.8,0.805
kernel_capacity,2Dcircle,20,25.0,256,4,40000,5.762819528579712,0.8082409989698751,0.9,0.9266666666666666
kernel_capacity,2Dcircle,20,25.0,256,5,40000,5.835637807846069,0.8224805909399262,0.9,0.905
kernel_capacity,2Dcircle,20,25.0,256,6,40000,6.0943968296051025,0.8478405065199367,0.9,0.94
kernel_capacity,2Dcircle,20,25.0,256,7,40000,5.30648946762085,0.8212293660963292,0.9,0.915
kernel_capacity,2Dcircle,20,25.0,256,8,40000,6.378079652786255,0.8493693625788297,0.9,0.9133333333333333
kernel_capacity,2Dcircle,20,25.0,256,9,40000,7.104610443115234,0.8385869701766289,0.9,0.905
kernel_capacity,2Dcircle,20,30.0,256,4,40000,6.054980516433716,0.695297856837768,0.71,0.7633333333333333
kernel_capacity,2Dcircle,20,30.0,256,5,40000,5.264885902404785,0.6935868445516443,0.7,0.7583333333333333
kernel_capacity,2Dcircle,20,30.0,256,8,40000,5.375691890716553,0.7586367176704103,0.76,0.805
kernel_capacity,2Dcircle,20,30.0,256,9,40000,5.3215577602386475,0.75527248059094,0.7,0.6916666666666667
kernel_capacity,2Dcircle,20,30.0,256,2,40000,5.353412389755249,0.7524798371900203,0.7,0.685
kernel_capacity,2Dcircle,20,30.0,256,3,40000,6.901288032531738,0.7417049822868772,0.705,0.8033333333333333
kernel_capacity,2Dcircle,20,30.0,256,6,40000,5.4949023723602295,0.6886146076731741,0.6,0.765
kernel_capacity,2Dcircle,20,30.0,256,7,40000,7.268950700759888,0.7171088666113917,0.7,0.73
kernel_capacity,2Dcircle,20,30.0,256,0,40000,6.66780161857605,0.7363307454586568,0.65,0.8066666666666666
kernel_capacity,2Dcircle,20,30.0,256,1,40000,6.7992353439331055,0.7232632345920956,0.76,0.76
kernel_capacity,2Dcircle,20,35.0,256,0,40000,6.814332723617554,0.6378646265169218,0.685,0.61
kernel_capacity,2Dcircle,20,35.0,256,1,40000,5.685751914978027,0.6601994924750634,0.6,0.6833333333333333
kernel_capacity,2Dcircle,20,35.0,256,2,40000,5.512417554855347,0.6195183538102058,0.7,0.715
kernel_capacity,2Dcircle,20,35.0,256,3,40000,6.364602088928223,0.6462990879626139,0.7,0.7516666666666667
kernel_capacity,2Dcircle,20,35.0,256,6,40000,5.744118690490723,0.6418318635210171,0.63,0.6883333333333334
kernel_capacity,2Dcircle,20,35.0,256,7,40000,6.424647569656372,0.6325117459360318,0.565,0.6733333333333333
kernel_capacity,2Dcircle,20,40.0,256,0,40000,5.691072463989258,0.6243687344539082,0.54,0.6816666666666666
kernel_capacity,2Dcircle,20,40.0,256,1,40000,5.912379503250122,0.6442966257129217,0.7,0.6616666666666666
kernel_capacity,2Dcircle,20,35.0,256,4,40000,6.942683458328247,0.6486156126730485,0.7,0.68
kernel_capacity,2Dcircle,20,35.0,256,5,40000,5.732306480407715,0.6427099821612522,0.7,0.6966666666666667
kernel_capacity,2Dcircle,20,35.0,256,8,40000,6.974971294403076,0.6802969774628779,0.69,0.735
kernel_capacity,2Dcircle,20,35.0,256,9,40000,6.218679904937744,0.6125386296826714,0.6,0.7266666666666667
kernel_capacity,2Dcircle,20,40.0,256,2,40000,5.8741841316223145,0.6099997487500314,0.6,0.65
kernel_capacity,2Dcircle,20,40.0,256,3,40000,6.582117557525635,0.6375844828019397,0.7,0.6866666666666666
kernel_capacity,2Dcircle,20,40.0,256,4,40000,5.959699869155884,0.6315356398080451,0.65,0.6683333333333333
kernel_capacity,2Dcircle,20,40.0,256,5,40000,6.321467399597168,0.6162018542247683,0.635,0.6616666666666666
kernel_capacity,2Dcircle,20,25.0,64,0,40000,1.5981292724609375,0.8072096178487977,0.9,0.9383333333333334
kernel_capacity,2Dcircle,20,25.0,64,1,40000,1.4400172233581543,0.8038906057636743,0.9,0.9333333333333333
kernel_capacity,2Dcircle,20,40.0,256,6,40000,6.876854658126831,0.6075689053038869,0.7,0.6183333333333333
kernel_capacity,2Dcircle,20,40.0,256,7,40000,5.9759156703948975,0.5852528830933896,0.59,0.635
kernel_capacity,2Dcircle,20,25.0,64,2,40000,1.850855827331543,0.8047687244039095,0.915,0.915
kernel_capacity,2Dcircle,20,25.0,64,3,40000,2.0132803916931152,0.7949699756287532,0.9,0.9116666666666666
kernel_capacity,2Dcircle,20,40.0,256,8,40000,5.828092336654663,0.6315544835556895,0.6,0.6666666666666666
kernel_capacity,2Dcircle,20,40.0,256,9,40000,7.270383358001709,0.6291927338509082,0.625,0.6916666666666667
kernel_capacity,2Dcircle,20,25.0,64,4,40000,2.1958553791046143,0.7909022386372202,0.9,0.9216666666666666
kernel_capacity,2Dcircle,20,25.0,64,5,40000,1.657386302947998,0.8021770809778649,0.9,0.9266666666666666
kernel_capacity,2Dcircle,20,25.0,64,6,40000,1.5013408660888672,0.8205019974372503,0.905,0.9333333333333333
kernel_capacity,2Dcircle,20,25.0,64,7,40000,1.529651403427124,0.8006268686716416,0.9,0.9216666666666666
kernel_capacity,2Dcircle,20,45.0,256,4,40000,5.992676019668579,0.61794176025728,0.54,0.6183333333333333
kernel_capacity,2Dcircle,20,45.0,256,5,40000,6.191797971725464,0.6073792115775986,0.69,0.6616666666666666
kernel_capacity,2Dcircle,20,45.0,256,2,40000,6.420136451721191,0.6160247229969097,0.665,0.6333333333333333
kernel_capacity,2Dcircle,20,45.0,256,3,40000,6.227200984954834,0.6254214718223161,0.655,0.645
kernel_capacity,2Dcircle,20,45.0,256,0,40000,5.983885765075684,0.6003014999623125,0.6,0.6266666666666667
kernel_capacity,2Dcircle,20,45.0,256,1,40000,7.7212114334106445,0.6263046154619231,0.6,0.635
kernel_capacity,2Dcircle,20,25.0,64,8,40000,2.156233072280884,0.8430378633702671,0.9,0.9333333333333333
kernel_capacity,2Dcircle,20,25.0,64,9,40000,2.0247747898101807,0.8123351172081104,0.89,0.935
kernel_capacity,2Dcircle,20,45.0,256,6,40000,6.334764719009399,0.6058076430240447,0.6,0.5833333333333334
kernel_capacity,2Dcircle,20,45.0,256,7,40000,6.885852336883545,0.6054508680686415,0.6,0.6566666666666666
kernel_capacity,2Dcircle,20,45.0,256,8,40000,7.915086030960083,0.5964561191929851,0.625,0.6116666666666667
kernel_capacity,2Dcircle,20,45.0,256,9,40000,6.886154651641846,0.6264076279490466,0.7,0.645
kernel_capacity,2Dcircle,20,25.0,512,0,40000,13.797930002212524,0.8377138765357653,0.9,0.92
kernel_capacity,2Dcircle,20,25.0,512,1,40000,13.790058374404907,0.8244692344413456,0.9,0.9316666666666666
kernel_capacity,2Dcircle,20,25.0,512,2,40000,13.330426454544067,0.839943720007035,0.9,0.89
kernel_capacity,2Dcircle,20,25.0,512,3,40000,14.300403833389282,0.8475339815582524,0.9,0.8983333333333333
kernel_capacity,2Dcircle,20,25.0,512,4,40000,14.159858226776123,0.8253259968342505,0.9,0.93
kernel_capacity,2Dcircle,20,25.0,512,5,40000,14.314667224884033,0.8487374689078165,0.9,0.91
kernel_capacity,2Dcircle,20,25.0,512,6,40000,14.409724950790405,0.8490703751162032,0.9,0.925
kernel_capacity,2Dcircle,20,25.0,512,7,40000,14.063679695129395,0.8416019697997538,0.9,0.9116666666666666
kernel_capacity,2Dcircle,20,25.0,512,8,40000,14.79662799835205,0.8510778623652672,1.0,0.915
kernel_capacity,2Dcircle,20,25.0,512,9,40000,13.889196872711182,0.8442413507198312,0.9,0.8933333333333333
